word,start_time,end_time
Each,1.022,3.404
day,3.444,4.005
I'm,4.645,4.905
closer,5.005,6.006
to,7.087,7.287
bringing,7.367,8.228
cash,8.288,8.729
of,8.829,8.969
the,9.009,9.169
future.,9.249,10.11
Not,10.27,11.451
in,12.352,12.632
your,12.712,12.952
"wallet,",13.072,13.593
I'm,14.273,14.513
in,15.494,15.594
your,15.854,16.315
computer.,16.455,17.976
I'm,17.996,18.056
the,18.196,18.497
consensus,18.617,20.058
of,20.178,20.298
shared,20.358,20.959
and,21.139,21.239
synchronized,21.359,22.68
digital,22.82,23.961
data,24.081,24.381
spread,24.401,25.342
across,26.183,26.903
multiple,26.923,27.744
platforms,27.764,28.385
from,28.425,28.605
Shanghai.,28.705,29.726
Today,30.988,31.488
I'm,31.609,32.209
closer,32.249,32.829
to,32.849,33.13
being,33.21,34.691
cash,34.891,35.211
of,35.671,36.092
the,36.852,37.052
future,37.153,37.973
Not,38.033,38.153
in,38.233,38.373
your,38.433,38.714
"wallet,",38.774,38.954
I'm,39.074,39.154
in,39.274,39.334
your,39.354,39.854
computer,39.895,40.755
I'm,75.397,77.079
in,77.479,77.619
your,78.1,78.9
computer,79.04,80.281
Sometimes,80.742,82.203
I,82.843,83.164
hear,83.264,84.024
your,84.205,84.465
voice,84.605,85.466
and,85.726,85.966
I'm,86.567,86.747
in,86.787,86.887
your,87.107,87.347
computer,87.387,88.208
The,133.687,133.887
ability,133.948,134.688
to,134.748,134.848
achieve,134.928,135.429
distributed,135.469,136.21
consensus,136.27,137.111
among,137.231,137.511
parties,137.571,138.011
that,138.051,138.232
don't,138.252,138.452
trust,138.532,138.832
each,138.892,139.072
"other,",139.133,139.353
across,140.354,140.734
great,140.814,141.094
"distances,",141.154,141.915
without,143.076,143.417
any,143.517,143.657
central,143.777,144.157
"party,",144.217,144.638
"authority,",144.898,145.499
or,145.719,145.819
intermediary.,145.959,146.84
Bitcoin.,146.86,148.482
What?,148.642,148.822
