word,start_time,end_time
I,0.871,0.951
see,0.971,1.131
you,1.151,1.292
"calling,",1.432,1.972
I,2.073,2.133
don't,3.875,4.235
know,4.255,4.415
where,4.496,4.776
you,4.836,5.136
are,5.337,5.477
this,5.497,5.577
time.,5.737,8.44
I,8.54,8.641
see,8.781,9.622
you,9.742,9.982
thinking,10.062,11.424
of,11.704,11.764
"calling,",11.865,12.265
I'm,13.787,13.887
I,43.587,43.707
can,43.727,44.087
feel,44.147,44.307
it,44.447,44.747
"coming,",45.288,45.988
I,46.048,46.108
can,46.148,46.408
feel,46.448,46.568
it,46.668,46.748
coming,46.768,47.168
I,47.228,47.309
can,47.369,47.489
feel,47.529,47.669
it,47.749,47.889
"coming,",47.909,48.289
I,48.369,48.429
can,48.469,48.569
feel,48.589,49.029
it,49.109,49.189
coming,49.229,49.91
I'm,76.291,76.511
I,94.709,94.809
can,94.889,95.69
hear,95.75,96.49
her,96.75,97.51
"calling,",97.55,98.09
but,98.17,98.391
I,98.511,98.671
don't,98.751,99.051
know,99.071,99.351
what,99.411,99.651
she's,99.711,99.971
saying,100.011,100.411
I,100.451,100.551
can,100.591,100.791
hear,100.831,101.052
her,101.092,101.172
"calling,",101.212,101.512
but,101.552,101.752
I,101.932,102.112
don't,102.152,102.392
know,102.432,102.712
what,102.752,102.992
she's,103.052,103.232
saying,103.292,103.633
I,103.733,103.933
can,103.993,104.233
hear,104.293,104.593
her,104.633,104.853
"calling,",104.893,105.413
but,105.493,105.833
I,105.953,106.073
don't,106.113,106.354
know,106.374,106.674
what,106.734,106.854
she's,106.874,107.294
saying,107.754,108.854
Kiss,126.24,126.46
"me,",126.92,127.001
kiss,127.021,127.141
"me,",127.221,127.301
kiss,127.321,127.461
"me,",127.681,127.821
kiss,127.901,128.081
"me,",128.181,128.301
kiss,128.341,128.442
"me,",128.502,128.682
kiss,128.722,128.802
"me,",128.862,128.922
kiss,129.022,129.282
"me,",129.402,129.462
kiss,129.482,129.662
"me,",129.702,129.802
kiss,129.822,129.903
"me,",129.963,130.083
kiss,130.103,130.283
"me,",130.303,130.343
kiss,130.363,130.503
"me,",130.583,130.703
kiss,130.723,130.803
"me,",130.843,130.983
kiss,131.003,131.103
"me,",131.304,131.384
kiss,131.424,131.564
"me,",131.584,131.624
kiss,131.664,131.764
"me,",131.824,131.864
kiss,131.884,131.984
"me,",132.004,132.144
kiss,132.164,132.284
"me,",132.464,132.704
kiss,132.725,132.985
"me,",133.105,133.165
kiss,133.185,133.305
"me,",133.345,133.385
kiss,133.405,133.485
"me,",133.505,133.585
kiss,133.605,133.805
"me,",133.845,133.985
kiss,134.005,134.125
"me,",134.145,134.246
kiss,134.286,134.426
"me,",134.446,134.486
kiss,134.506,134.626
"me,",134.866,135.046
kiss,135.086,135.246
"me,",135.286,135.466
kiss,135.526,135.627
"me,",135.647,135.787
kiss,135.807,136.087
"me,",136.227,136.267
kiss,136.287,136.427
"me,",136.447,136.527
kiss,136.567,136.667
"me,",136.747,136.867
kiss,136.887,137.048
"me,",137.088,137.288
kiss,137.328,137.628
"me,",137.668,137.828
kiss,137.848,137.928
"me,",137.968,138.148
kiss,138.188,138.268
"me,",138.288,138.428
kiss,138.448,138.529
"me,",138.569,138.689
kiss,138.709,138.869
"me,",138.929,138.989
kiss,139.009,139.109
"me,",139.189,139.269
kiss,139.289,139.389
"me,",139.429,139.489
kiss,139.509,139.609
"me,",139.809,140.03
kiss,140.05,140.29
"me,",140.41,140.53
kiss,140.57,140.67
"me,",140.71,140.79
kiss,140.81,140.93
"me,",141.01,141.15
kiss,141.17,141.25
"me,",141.29,141.431
kiss,141.491,141.571
"me,",141.631,141.831
kiss,141.851,142.051
"me,",142.211,142.371
kiss,142.391,142.691
"me,",142.711,142.771
kiss,142.852,143.012
"me,",143.092,143.172
kiss,143.192,143.332
"me,",143.352,143.412
kiss,143.472,143.632
"me,",143.672,143.912
kiss,143.952,144.072
"me,",144.112,144.273
kiss,144.293,144.453
"me,",144.613,144.713
kiss,144.733,144.973
"me,",144.993,145.033
kiss,145.053,145.233
"me,",145.393,145.453
kiss,145.473,145.573
"me,",145.613,145.653
kiss,145.673,145.794
"me,",145.814,145.874
kiss,145.934,146.134
"me,",146.174,146.214
kiss,146.234,146.474
"me,",146.494,146.534
kiss,146.554,146.674
"me,",146.694,146.754
kiss,146.834,147.054
"me,",147.114,147.215
kiss,147.235,147.415
"me,",147.475,147.735
kiss,147.755,147.935
"me,",147.955,148.035
kiss,148.055,148.235
"me,",148.275,148.315
kiss,148.335,148.596
"me,",148.616,148.656
kiss,148.676,148.756
"me,",149.296,149.396
kiss,149.416,149.556
"me,",149.716,149.876
kiss,149.896,149.996
"me,",150.077,150.157
kiss,150.177,150.317
"me,",150.397,150.477
kiss,150.497,150.657
"me,",150.697,150.917
kiss,150.937,151.237
"me,",151.297,151.498
kiss,151.558,151.818
"me,",151.858,152.038
kiss,152.158,152.518
"me,",152.598,152.979
kiss,152.999,153.159
"me,",153.219,153.419
kiss,153.439,153.539
"me,",153.559,153.599
kiss,153.619,153.779
"me,",153.799,153.859
kiss,153.999,154.119
"me,",154.239,154.38
kiss,154.52,154.68
me,154.84,154.92
You're,155.421,155.921
I'm,172.642,172.782
a,172.942,173.082
bad,173.162,173.343
"guy,",173.483,173.603
I'm,173.683,173.763
a,173.823,173.923
bad,173.943,174.083
"guy,",174.103,174.223
I'm,174.303,174.383
a,174.443,174.543
bad,174.563,174.684
"guy,",174.764,174.924
I'm,175.024,175.144
a,175.204,175.324
bad,175.584,175.764
"guy,",175.884,176.065
I'm,176.105,176.205
a,176.225,176.365
bad,176.405,176.525
"guy,",176.545,176.685
I'm,176.745,176.825
a,176.865,176.945
bad,176.985,177.125
"guy,",177.165,177.346
I'm,177.486,177.566
a,177.646,177.706
bad,177.746,177.906
"guy,",177.946,178.046
I'm,178.166,178.306
a,178.326,178.346
bad,178.366,178.547
"guy,",178.587,178.767
I'm,178.807,179.027
a,179.047,179.067
bad,179.087,179.227
"guy,",179.307,179.427
I'm,179.447,179.607
a,179.627,179.707
bad,179.727,179.968
"guy,",179.988,180.128
I'm,180.168,180.248
a,180.288,180.348
bad,180.408,180.568
"guy,",180.588,180.728
I'm,180.868,180.948
a,181.028,181.088
bad,181.108,181.269
"guy,",181.309,181.529
I'm,181.629,181.849
a,181.869,182.169
bad,182.209,182.349
"guy,",182.369,182.57
I'm,182.67,182.83
a,182.93,182.97
bad,183.01,183.21
"guy,",183.23,183.45
I'm,183.47,183.65
a,183.67,183.69
bad,183.71,183.79
"guy,",183.831,183.911
I'm,184.011,184.151
a,184.231,184.291
bad,184.311,184.431
"guy,",184.491,184.691
I'm,184.711,184.931
a,184.991,185.071
