word,start_time,end_time
I,3.463,3.643
rock,3.923,4.244
you,4.484,4.804
to,4.944,5.164
sleep,5.264,5.784
like,5.884,6.164
a,6.264,6.444
bassinet,6.524,7.084
Work,7.104,7.544
"miracles,",7.564,8.484
perform,8.525,9.305
cosmetic,9.325,10.145
surgery,10.445,10.965
with,11.005,11.325
my,11.405,11.585
lab,11.645,11.845
Gillette,11.865,12.265
Then,12.325,12.585
take,12.825,13.046
a,13.146,13.206
long,13.226,13.386
trip,13.406,13.546
like,13.566,13.746
a,13.846,13.906
bassinet,13.926,14.286
All,27.551,27.611
of,27.651,27.691
us,27.711,27.771
dirty,27.811,27.932
in,27.952,27.992
the,28.012,28.132
rental,28.172,28.573
car,28.593,28.733
Smoked,28.773,28.953
"out,",29.094,29.314
can't,29.354,29.534
"see,",29.554,29.695
countin',29.715,30.095
cheddar,30.115,30.336
bars,30.396,30.636
