word,start_time,end_time
Or,0.029,0.109
"not,",0.129,0.489
or,0.509,0.609
"not,",0.629,0.729
or,0.749,0.849
"not,",0.869,0.97
or,0.99,1.11
"not,",1.13,1.25
or,1.41,1.51
"not,",1.53,1.63
or,1.65,1.73
"not,",1.75,1.81
or,1.83,1.87
"not,",1.89,1.95
or,1.97,2.01
"not,",2.03,2.11
or,2.27,2.39
"not,",2.45,2.51
or,2.53,2.65
"not,",2.67,2.75
or,2.77,2.851
"not,",2.891,2.991
or,3.011,3.051
"not,",3.111,3.171
or,3.191,3.291
"not,",3.331,3.391
or,3.411,3.451
"not,",3.471,3.531
or,3.551,3.591
"not,",3.611,3.671
or,3.691,3.751
"not,",3.791,3.911
or,4.071,4.171
"not,",4.231,4.291
or,4.311,4.391
"not,",4.411,4.471
or,4.491,4.551
"not,",4.571,4.631
or,4.652,4.692
"not,",4.712,4.772
or,4.792,4.832
"not,",4.892,4.952
or,4.972,5.072
"not,",5.132,5.192
or,5.212,5.292
"not,",5.312,5.372
or,5.412,5.452
"not,",5.572,5.652
or,5.672,5.712
"not,",5.732,5.832
or,5.852,5.952
"not,",6.012,6.072
or,6.092,6.172
"not,",6.192,6.272
or,6.312,6.372
"not,",6.392,6.452
or,6.472,6.513
"not,",6.533,6.593
or,6.753,6.873
"not,",6.913,6.973
or,6.993,7.073
"not,",7.093,7.173
or,7.213,7.253
"not,",7.273,7.333
or,7.353,7.393
"not,",7.413,7.473
or,7.493,7.533
"not,",7.573,7.693
or,7.713,7.753
"not,",7.813,7.873
or,7.893,7.933
"not,",7.953,8.073
or,8.113,8.153
"not,",8.173,8.233
or,8.253,8.293
"not,",8.313,8.374
or,8.514,8.634
"not,",8.694,8.754
or,8.774,8.874
"not,",8.894,8.974
or,8.994,9.034
"not,",9.054,9.154
or,9.174,9.274
"not,",9.294,9.394
or,9.414,9.534
"not,",9.574,9.634
or,9.654,9.754
"not,",9.774,9.854
or,9.894,9.974
"not,",9.994,10.054
or,10.094,10.134
"not,",10.154,10.275
or,10.295,10.415
"not,",10.475,10.535
or,10.555,10.635
"not,",10.655,10.735
or,10.755,10.795
"not,",10.895,10.995
or,11.015,11.055
"not,",11.075,11.135
or,11.175,11.275
"not,",11.335,11.415
or,11.435,11.535
"not,",11.555,11.635
or,11.655,11.735
"not,",11.755,11.815
or,11.835,11.915
"not,",11.995,12.136
or,12.156,12.196
"not,",12.236,12.316
or,12.336,12.416
"not,",12.436,12.516
or,12.556,12.596
"not,",12.656,12.796
or,12.816,12.856
"not,",12.876,12.936
or,12.956,13.076
"not,",13.136,13.196
or,13.216,13.316
"not,",13.336,13.416
or,13.436,13.476
"not,",13.496,13.556
or,13.636,13.716
"not,",13.816,13.896
or,13.916,13.957
"not,",13.977,14.077
or,14.137,14.217
"not,",14.237,14.297
or,14.317,14.397
"not,",14.437,14.497
or,14.517,14.557
"not,",14.577,14.677
or,14.697,14.737
"not,",14.757,14.917
or,14.997,15.097
"not,",15.177,15.377
or,15.437,15.477
"not,",15.497,15.617
or,15.637,15.697
"not,",15.717,15.778
or,15.798,15.838
"not,",15.858,15.918
or,15.938,15.978
"not,",16.018,16.178
or,16.218,16.258
"not,",16.318,16.378
or,16.398,16.458
"not,",16.478,16.538
or,16.578,16.618
not,16.638,16.698
It,20.996,21.056
ain't,21.096,21.316
a,21.336,21.356
mystery,21.377,21.797
"dawg,",21.837,22.117
I,22.177,22.217
went,22.297,22.618
to,22.678,22.858
the,22.878,23.018
risk,23.058,23.278
of,23.338,23.418
