word,start_time,end_time
you,13.548,13.65
you.,39.477,39.737
On,52.869,52.969
the,52.989,53.17
dark,53.21,53.79
side,53.83,53.97
of,54.21,54.35
the,54.41,54.611
"highway,",54.671,55.952
cool,55.992,56.392
wind,56.432,56.632
in,56.792,56.952
my,56.992,57.252
hair,57.332,57.813
On,59.394,59.614
a,59.634,59.654
cloud,59.694,59.994
of,60.114,60.235
blue,60.275,60.495
"sky,",60.695,61.335
fly,61.375,62.696
me,62.736,62.916
up,63.017,63.137
to,63.197,63.457
the,63.497,63.637
air,64.017,64.418
Put,65.759,65.939
my,65.979,66.159
head,66.259,66.619
in,66.699,66.759
the,66.779,66.919
"distance,",66.939,67.86
I'm,68.881,68.981
going,69.041,69.521
in,69.601,69.701
the,70.002,70.182
moonlight,70.242,71.963
Take,72.283,72.483
a,72.563,72.643
breath,72.663,73.084
and,73.184,73.284
let,73.304,73.464
my,73.544,73.804
thoughts,73.844,74.225
go,74.245,74.645
down,74.765,75.686
I,79.701,79.801
was,79.841,80.001
standing,80.021,80.842
in,81.002,81.202
the,81.582,81.762
"doorway,",81.982,82.583
listening,83.063,83.943
from,84.823,84.964
down.,85.084,85.424
I,85.544,85.724
was,85.844,85.984
thinking,86.024,86.444
to,86.484,86.664
"myself,",86.724,87.645
this,87.685,87.845
could,87.865,88.425
be,88.445,88.685
"life,",88.725,88.865
this,88.905,89.426
could,89.446,89.826
be,89.926,90.286
the,90.306,90.546
end.,91.466,91.546
And,91.847,91.947
through,91.987,92.287
the,92.307,92.427
troubles,92.487,92.907
I've,93.147,93.267
"known,",93.327,93.947
I'm,94.088,94.188
still,94.288,94.728
going,94.768,94.948
my,94.988,95.148
way.,95.228,95.428
It,95.528,95.948
was,96.028,96.228
working,96.309,96.829
out,97.129,98.229
before,98.269,98.65
it,98.81,98.91
got,99.15,99.35
far,99.37,99.55
away.,99.59,100.01
"California,",106.781,108.524
you,108.825,109.205
know,109.225,109.566
the,109.666,109.947
"way,",110.027,110.427
you,110.487,110.648
know,110.688,111.289
the,111.309,111.449
way.,111.489,111.75
I'm,130.373,130.453
not,130.493,130.553
a,130.573,130.593
different,130.613,130.994
"person,",131.014,131.194
I'm,131.234,131.314
not,131.334,131.394
a,131.414,131.434
different,131.454,131.654
"person,",131.674,131.814
I'm,131.834,131.894
not,131.914,131.994
a,132.014,132.034
different,132.095,132.355
"person,",132.395,132.515
I'm,132.555,132.615
not,132.635,132.715
a,132.735,132.795
different,132.815,132.995
"person,",133.175,133.476
I'm,133.516,133.596
not,133.616,133.696
a,133.716,133.736
different,133.756,133.996
"person,",134.036,134.216
I'm,134.236,134.316
not,134.376,134.457
a,134.477,134.497
different,134.517,134.737
"person,",134.817,134.937
I'm,134.977,135.077
not,135.097,135.237
a,135.257,135.277
different,135.297,135.577
"person,",135.597,135.758
I'm,135.778,135.838
not,135.858,135.918
a,135.938,135.958
different,135.978,136.198
"person,",136.218,136.358
I'm,136.378,136.438
not,136.458,136.718
a,136.738,136.758
different,136.778,137.219
"person,",137.279,137.539
I'm,137.559,137.619
not,137.639,137.699
a,137.719,137.739
different,137.759,138.08
"person,",138.14,138.36
I'm,138.38,138.44
not,138.46,138.56
a,138.58,138.6
different,138.64,138.92
"person,",138.94,139.06
I'm,139.12,139.221
not,139.261,139.421
a,139.441,139.501
different,139.521,139.721
"person,",139.741,140.101
I'm,140.261,140.382
not,140.442,140.522
a,140.542,140.562
different,140.582,140.902
"person,",140.962,141.262
I'm,141.322,141.382
not,141.402,141.483
a,141.503,141.523
different,141.543,141.823
"person,",141.863,141.983
I'm,142.003,142.063
not,142.083,142.143
a,142.163,142.183
different,142.203,142.463
"person,",142.523,142.704
I'm,142.784,142.844
not,142.864,143.144
a,143.204,143.224
different,143.284,143.584
"person,",143.604,143.784
I'm,143.804,143.865
not,143.885,143.945
a,143.965,143.985
different,144.005,144.225
"person,",144.245,144.365
I'm,144.385,144.445
not,144.465,144.525
a,144.545,144.565
different,144.585,144.785
"person,",144.825,145.106
I'm,145.126,145.186
not,145.206,145.286
a,145.306,145.346
different,145.366,145.586
"person,",145.626,145.806
I'm,145.826,145.886
