word,start_time,end_time
Ich,0.55,0.67
weise,0.69,0.95
Sie,0.97,1.13
darauf,1.15,1.431
"hin,",1.451,1.631
liebe,1.671,1.911
Freunde.,1.931,3.752
"Wir,",3.792,4.592
jeder,4.632,4.992
"Mensch,",5.012,5.352
hat,5.392,5.572
es,5.613,5.853
"nötig,",5.893,6.533
Gott,6.573,6.813
zu,6.833,6.993
"ersuchen,",7.053,9.294
dass,9.334,9.494
er,9.534,9.674
ihn,9.734,10.055
wieder,10.095,10.375
auf,10.395,10.615
den,10.635,10.895
Weg,10.935,12.136
"zurückführt,",12.176,14.557
der,14.597,15.037
wirklich,15.077,16.778
von,16.798,17.058
Gott,17.098,17.358
so,17.398,17.538
bestimmt,17.578,18.118
ist.,18.199,19.139
Und,19.199,19.339
so,19.359,19.439
rufe,19.479,19.779
ich,19.839,19.979
"Sie,",20.019,20.26
so,20.28,20.36
rufe,20.4,20.6
ich,20.62,20.74
jeden,20.76,21.1
zu.,21.14,21.58
Halt!,21.62,23.041
So,23.061,23.181
du,23.221,23.361
"wahrgenommen,",23.401,24.582
dass,24.602,24.822
dieser,24.842,25.102
"Weg,",25.122,25.362
den,25.382,25.542
du,25.582,25.782
"eingeschlagen,",25.802,27.823
dass,27.863,28.143
dieser,28.183,28.423
Weg,28.463,28.724
nicht,28.764,28.984
der,29.004,29.124
"richtige,",29.164,29.464
niemals,30.573,31.014
der,31.054,31.214
"Gute,",31.254,31.615
sondern,31.635,31.815
nur,31.835,31.935
der,31.955,32.256
Ungute,32.316,32.817
"ist,",32.857,34.759
dann,34.779,35.02
"halte,",35.06,36.161
dann,36.181,36.402
gehe,36.422,36.702
nicht,36.742,36.882
weiter,37.003,37.383
diesen,37.423,37.684
Weg.,37.724,40.327
Ich,40.367,40.508
sage,40.548,41.549
auf,41.609,42.711
zur,42.751,42.851
großen,42.891,43.151
Umkehr.,43.191,43.492
