word,start_time,end_time
for,3.912,4.132
educational,4.192,4.753
purposes,4.813,5.233
only,5.293,5.513
and,5.653,5.753
is,5.813,5.893
not,6.013,6.353
intended,6.413,6.974
as,7.074,7.194
financial,7.254,7.934
advice.,8.034,8.354
He's,9.275,14.417
an,14.497,14.557
early,14.678,15.098
Bitcoin,15.138,15.778
investor,15.858,16.639
and,17.399,17.539
he,17.559,17.599
thinks,18.039,18.399
that,18.419,18.499
Bitcoin,18.7,18.96
is,19.02,19.14
going,19.2,19.58
to,19.6,19.72
keep,19.8,20.04
on,20.14,20.26
going,20.32,20.641
straight,20.741,21.241
up.,21.381,21.541
And,21.761,21.861
did,21.901,22.041
"you,",22.081,22.201
and,22.562,22.662
did,22.702,22.842
"you,",22.882,23.022
and,23.362,23.462
did,23.522,23.662
you,23.702,23.842
tell,23.922,24.182
me,24.242,24.422
during,24.523,24.783
the,24.823,24.903
"break,",24.943,25.163
I,25.243,25.303
know,25.323,25.523
you,25.563,25.703
"did,",25.763,25.963
you,25.983,26.083
received,26.103,26.403
it,26.463,26.524
for,26.544,26.664
the,26.684,26.784
"viewers,",26.844,27.124
you,27.164,27.284
think,27.304,27.464
it's,27.504,27.624
going,27.664,27.844
to,27.864,27.924
go,27.984,28.024
to,28.044,28.144
a,28.184,28.224
million,28.324,28.745
dollars?,28.825,29.205
I,49.623,49.764
didn't,49.784,50.126
go,50.146,50.247
up,50.307,50.508
to,50.548,50.789
"$100,000,",0.0,0.0
maybe,50.91,51.03
even,51.111,51.312
"$200,000",0.0,0.0
for,51.372,51.653
the,51.674,51.794
next,51.814,51.975
one,52.015,52.076
up.,52.096,52.136
of,143.956,144.036
capital,144.076,144.496
is,144.576,144.696
all,144.936,145.096
going,145.116,145.216
to,145.236,145.356
flood,145.396,145.617
into,145.697,145.877
Bitcoin.,145.957,146.597
Advisor,146.937,147.457
better,147.477,147.757
add,147.877,148.017
1-5%,148.037,148.237
of,148.317,148.377
his,148.397,149.158
Bitcoin,149.198,150.158
related,150.298,150.658
products,150.698,151.118
into,151.198,151.358
their,151.398,151.558
book,151.578,151.718
of,151.798,151.879
business.,151.899,152.539
