word,start_time,end_time
親,0.0,0.0
愛,0.0,0.0
的,1.108,1.249
主,1.249,1.489
人,1.489,3.03
歡,0.0,0.0
迎,3.03,3.371
回,3.371,3.631
到,3.631,4.031
B,4.031,4.091
i,4.091,4.271
g,4.271,4.392
M,4.392,4.432
a,4.432,4.832
p,4.832,6.093
您,6.093,6.273
的,6.273,6.494
元,6.494,6.714
宇,6.714,6.934
宙,6.934,7.114
空,7.114,7.955
間,0.0,0.0
正,7.955,8.175
在,8.175,8.475
等,8.475,8.676
待,8.676,8.896
您,8.896,9.116
開,0.0,0.0
啟,0.0,0.0
W,9.116,9.456
e,9.456,10.938
l,10.938,11.158
c,11.158,11.218
o,11.218,11.418
m,11.418,11.438
e,11.438,11.458
H,11.458,11.538
o,11.538,11.839
m,11.839,11.939
e,11.939,11.959
