word,start_time,end_time
"Damn,",0.009,1.15
tears,1.27,1.61
to,1.63,1.75
my,1.79,1.91
system.,1.97,2.29
Will,2.31,2.47
you,2.49,2.59
listen,2.63,2.93
to,2.95,3.07
a,3.15,3.25
sister,3.29,3.611
who,3.631,3.791
be,3.811,3.911
spittin',3.951,4.331
on,4.391,4.451
this,4.471,4.611
wisdom?,4.671,5.031
Contrast,5.171,5.491
the,5.511,5.591
"feminine,",5.631,6.232
"yo,",6.312,6.612
just,6.652,6.812
because,6.852,7.172
it's,7.232,7.332
different.,7.372,7.752
It's,7.952,8.053
not,8.073,8.193
a,8.253,8.293
"competition,",8.333,8.953
but,8.993,9.113
your,9.153,9.313
bitches,9.333,9.613
still,9.633,9.833
be,9.873,9.953
trippin'.,9.973,10.334
Gender's,10.634,10.974
out,11.034,11.134
of,11.174,11.234
balance,11.294,11.634
and,11.654,11.714
it's,11.734,11.814
reflected,11.834,12.294
in,12.354,12.454
the,12.494,12.615
system.,12.675,13.095
You're,13.155,13.275
scared,13.295,13.515
we,13.535,13.635
ain't,13.675,13.815
"forgiven,",13.835,14.315
we're,14.515,14.615
scared,14.635,14.816
you,14.856,14.976
ain't,15.036,15.176
committed.,15.196,15.676
You,15.856,15.976
think,15.996,16.136
we,16.176,16.276
want,16.296,16.456
"provision,",16.496,16.936
so,16.956,17.097
we,17.117,17.237
think,17.297,17.477
you,17.517,17.677
want,17.717,17.877
our,17.917,17.997
kittens.,18.057,18.417
Unity,18.497,18.817
should,18.857,19.037
be,19.057,19.177
our,19.217,19.317
"mission,",19.357,19.638
look,19.658,19.798
inside,19.838,20.178
and,20.218,20.298
see,20.318,20.498
division.,20.518,20.838
Respect,20.858,21.118
the,21.138,21.238
femme,21.298,21.498
within,21.518,21.779
yourself,21.819,22.299
and,22.399,22.479
you,22.659,22.759
shall,22.779,22.979
hear,22.999,23.179
her,23.219,23.299
wisdom,23.359,23.739
and,23.94,24.04
transmission.,24.08,24.76
