word,start_time,end_time
कई,0.503,0.723
लोग,0.743,0.983
इसको,1.063,1.243
नहीं,1.263,1.343
जानते,1.403,1.764
हैं।,3.364,3.484
जीजिस,3.504,3.624
को,3.664,3.744
नहीं,3.764,3.905
जानते,3.965,4.265
हैं।,5.705,5.785
हम,5.805,5.845
कहते,5.945,6.045
हैं,6.106,6.186
जीजिस,6.206,6.426
खुदा,7.246,7.446
हैं।,7.486,7.606
खुदा,8.387,8.527
का,8.607,8.667
बेटा,8.707,8.967
खुदा।,9.247,9.407
गौड,10.347,10.527
का,10.567,10.628
बेटा,10.668,10.868
गौड।,11.148,11.308
उन्होंने,12.468,12.708
भुत,12.849,13.009
कहा।,13.089,13.229
चेलोंने,16.07,16.37
कहा,16.43,16.61
आप,17.671,17.811
अपने,17.871,18.011
पिता,18.071,18.271
से,18.331,18.391
में,18.431,18.511
मिलाईए।,18.531,18.831
बेदारो,20.632,21.012
के,21.072,21.152
कंटाल,21.232,21.552
के,21.592,21.652
बोला,21.692,21.993
मेरे,22.893,23.073
को,23.113,23.173
देख,23.233,23.373
ल,23.433,23.453
अब,31.34,31.54
मैं,31.58,31.66
आपको,31.72,32.001
बताता,32.021,32.241
रही,32.301,32.381
"हूँ,",32.461,32.682
जो,33.663,33.863
एशु,33.943,34.284
को,34.344,34.444
नहीं,34.504,34.684
जानता,34.764,35.065
है,35.085,35.125
पूरी,35.225,35.405
दुनिया,35.465,35.766
"में,",35.846,36.026
वो,36.527,36.587
किसी,36.667,36.927
भी,36.987,37.047
धर्म,37.128,37.328
का,37.428,37.588
"हो,",37.608,37.828
किसी,37.989,38.229
भी,38.289,38.349
रिलिजन,38.409,38.77
का,38.85,38.93
"हो,",38.99,39.13
कहीं,39.25,39.451
का,39.531,39.611
भी,39.691,39.771
"हो,",39.831,39.971
जो,40.792,41.013
नहीं,41.233,41.533
जानता,41.674,42.114
"है,",42.234,42.555
वो,43.115,43.276
भी,43.456,43.616
जीज़िस,43.676,44.677
की,44.878,44.978
बात,45.138,45.398
करता,45.478,45.819
है.,45.939,45.979
मैं,48.683,48.763
आपको,48.783,49.023
एकिन,49.063,49.183
दिलाता,49.223,49.484
हूँ.,49.504,49.564
