word,start_time,end_time
In,0.309,0.449
the,0.489,0.609
land,0.669,1.03
of,1.13,1.23
"Merlin,",1.31,1.81
where,1.85,1.99
magic,2.03,2.371
is,2.471,2.591
real,2.671,3.011
There's,3.031,3.231
a,3.291,3.331
cat,3.371,3.652
named,3.712,3.972
"Hoo-Hoo,",4.072,4.552
a,4.632,4.692
mighty,4.732,5.073
appeal,5.193,5.773
Merlin,6.053,6.654
Chain's,6.714,7.034
first,7.074,7.354
meme,7.394,7.675
coin,7.755,8.195
is,8.295,8.375
making,8.435,8.795
a,8.896,8.956
splash,9.056,9.736
Holders,10.797,11.457
on,11.678,11.838
a,11.958,12.138
"journey,",12.178,12.718
chasing,12.758,13.439
freedom,13.479,13.859
and,13.919,13.979
cash,14.019,14.64
With,16.541,16.801
Hoo-Hoo,16.921,17.582
in,17.722,17.922
our,18.042,18.182
"pockets,",18.222,18.823
we're,19.263,19.563
reaching,19.583,20.244
new,20.324,20.664
heights,20.784,21.225
Trade,21.925,22.325
memes,22.365,22.626
and,22.746,22.986
laughter,23.026,23.486
through,23.526,23.826
day,23.887,24.207
and,24.247,24.367
night,24.407,24.707
On,24.807,24.887
the,24.927,25.007
blockchain,25.067,25.588
we,25.608,25.708
travel,25.728,26.068
with,26.088,26.208
Hoo-Hoo,26.268,26.729
at,26.749,26.849
our,26.869,27.049
side,27.069,27.549
Together,27.609,28.07
we'll,28.09,28.37
conquer,28.43,28.79
with,28.81,29.09
no,29.13,29.311
need,29.331,29.591
to,29.631,29.751
hide,29.791,29.991
Flying,34.384,35.125
"high,",35.225,35.586
on,36.147,36.307
an,37.368,37.548
adventure,37.729,38.51
Reaching,38.59,39.671
for,39.811,40.272
the,40.312,40.412
sky,40.472,40.933
Hold,41.313,41.894
on,42.074,42.575
"tight,",42.635,43.076
let's,43.436,43.797
hop,43.897,44.217
on,45.359,45.459
a,45.479,45.499
spin,45.519,45.939
Our,46.54,46.68
journey,46.72,47.341
will,47.401,47.722
never,47.782,48.062
end,48.322,48.443
