word,start_time,end_time
I,0.335,0.376
agree,0.417,0.641
with...,0.662,0.784
the,1.718,1.838
principles,1.858,2.298
that,2.358,2.498
Jesus,2.578,2.918
advocated.,3.098,3.578
There's,8.86,10.44
great,10.46,10.64
wisdom,10.68,11.04
in,11.2,11.28
the,12.021,12.481
teachings,12.541,12.941
of,12.961,13.001
"Jesus,",14.201,14.641
and,15.181,15.701
I,15.721,15.761
agree,15.801,16.002
with,16.022,16.142
those,16.182,16.362
teachings.,16.422,18.222
Things,19.482,19.682
like,19.702,19.842
tone,19.882,20.023
the,20.043,20.123
other,20.143,20.303
cheek,20.323,20.603
are,21.503,21.683
very,23.303,23.423
"important,",23.443,23.803
as,24.103,24.264
opposed,24.284,25.604
to,25.624,25.724
an,25.744,25.784
eye,25.804,25.924
for,25.944,26.044
an,26.164,26.304
eye.,27.024,27.144
An,27.404,27.504
eye,27.544,27.624
for,27.644,27.744
an,27.784,27.844
eye,27.864,28.004
leads,28.044,28.184
everyone,28.265,28.545
blind.,28.565,28.785
"Forgiveness,",31.306,31.846
you,33.647,33.728
"know,",33.768,33.888
is,33.908,33.948
important,34.148,34.608
and,34.888,35.048
treating,37.73,37.951
people,37.971,38.171
as,38.231,38.291
you,38.311,38.391
would,38.411,38.531
wish,38.551,38.671
to,38.691,38.731
be,38.771,38.831
treated.,38.871,39.171
Love,40.412,40.552
thy,40.572,40.653
neighbor,40.673,40.853
as,40.893,40.973
thyself.,40.993,41.373
Very,42.574,42.734
important.,42.754,44.435
So,44.455,44.715
it's,44.816,45.256
like,45.296,45.736
a,45.796,45.936
60-70%,45.956,45.976
yes?,46.056,46.297
As,46.917,47.017
Einstein,47.077,47.437
would,47.457,47.638
"say,",47.678,47.918
I,47.938,47.958
believe,50.38,50.58
in,50.6,50.64
the,50.66,50.72
goddess,50.76,51.0
Bonoza.,51.04,51.42
But,58.792,58.912
"hey,",58.952,60.774
if,61.014,61.575
Jesus,61.615,62.155
is,62.315,62.436
saving,63.116,63.417
"people,",63.477,63.757
I,63.797,63.917
wouldn't,64.057,64.998
stand,65.018,65.239
in,65.279,65.339
his,65.379,65.499
way.,65.539,65.799
I'll,66.039,66.12
be,66.14,66.3
"saved,",66.32,66.48
why,66.54,66.62
not?,66.64,66.72
