word,start_time,end_time
In,0.769,0.869
a,0.889,0.929
piece,0.989,1.269
of,1.329,1.409
"eight,",1.489,1.67
eight,1.89,2.03
pieces,2.11,2.53
fit.,2.61,2.93
Every,3.27,3.53
piece,3.59,3.87
is,3.95,4.03
called,4.17,4.41
a,4.49,4.53
bit.,4.57,4.831
Four,4.851,5.071
of,5.271,5.371
the,5.391,5.571
bits,5.631,5.871
in,5.891,5.991
each,6.091,6.271
half,6.291,6.591
"sits,",6.631,6.911
and,6.951,7.051
half,7.111,7.251
of,7.291,7.331
a,7.451,7.531
half,7.631,7.791
is,7.831,7.972
called,8.032,8.412
two,8.432,8.592
bits.,8.712,9.012
Correct.,10.852,11.273
Fitting,11.293,11.613
"rhymes,",11.753,12.193
check,12.253,12.493
the,12.513,12.613
"flow,",12.653,12.993
it's,13.073,13.233
so,13.273,13.373
slick.,13.593,14.013
Talking,14.033,14.614
bout,14.634,14.814
"Bitcoin,",14.974,15.474
the,15.494,15.614
future's,15.654,16.054
cryptic.,16.074,16.594
Mixed,16.654,16.894
digital,17.014,17.515
"gold,",17.595,17.935
decentralized,17.955,18.955
and,19.055,19.135
bold.,19.195,19.495
Crypto,19.675,20.235
keeps,20.275,20.595
"rising,",20.656,21.096
the,21.136,21.256
story,21.276,21.756
unfolds.,21.816,22.676
Let's,22.756,23.016
"go,",23.076,23.416
in,23.476,23.556
the,23.596,23.736
matrix,23.776,24.337
we,24.377,24.537
unfold.,24.617,25.157
Flipping,25.377,25.857
the,25.897,26.057
scripts,26.077,26.437
and,26.457,26.557
rewriting,26.617,27.418
them,27.478,27.578
"all,",27.718,27.938
yeah.,28.038,28.438
Bitcoin's,42.449,42.909
powers,43.009,43.369
off,43.449,43.549
the,43.569,43.689
"charts,",43.729,44.09
we,44.13,44.27
get,44.29,44.47
sad,44.59,45.27
To,45.31,45.45
the,45.47,45.59
traditional,45.61,46.27
"banking,",46.31,46.67
we,46.69,46.85
breaking,46.87,47.191
away,47.591,48.051
Pepe,48.111,48.431
on,48.491,48.591
the,48.631,48.791
"rise,",48.831,49.111
memes,49.191,49.411
warp,49.471,49.751
gold,49.851,50.092
for,50.152,50.372
days,50.412,50.772
Is,50.952,51.072
everything,51.332,52.092
clear?,52.132,52.472
"No,",52.532,52.592
but,52.612,52.892
it,52.993,53.053
sounds,53.093,53.313
like,53.813,54.033
a,55.313,55.393
good,55.453,55.653
deal,55.693,56.294
El,56.614,56.834
Salvador,56.874,57.594
"leading,",57.654,58.114
setting,58.194,58.514
the,58.554,58.694
trend,58.734,59.075
Decentralized,59.115,59.995
"finance,",60.115,60.675
we,60.715,60.875
here,60.935,61.155
to,61.175,61.215
transcend,61.235,61.915
This,62.156,62.496
revolution,62.596,63.236
is,63.296,63.396
disrupting,63.436,64.136
the,64.176,64.316
mold,64.356,64.716
Blockchain,64.996,65.557
"foundation,",65.617,66.237
watch,66.277,66.497
it,66.577,66.637
all,66.797,66.937
unfold,66.997,67.477
Glitch,67.797,68.177
"gold,",68.278,68.618
riches,68.638,68.978
get,69.018,69.178
abstract,69.298,69.718
inspiration,71.613,75.217
challenging,76.178,76.899
the,76.919,77.039
norms,77.119,77.38
and,77.48,77.6
sparking,77.62,78.0
transformation,78.02,79.222
ordinals,79.302,79.702
in,79.822,79.923
line,79.943,80.183
one,80.303,80.463
two,80.503,80.643
three,80.743,80.984
and,81.024,81.124
beyond,81.184,81.584
stepping,81.604,82.165
forward,82.185,82.485
breaking,82.626,82.986
barriers,83.026,83.527
ways,83.567,83.967
behind,84.107,84.828
cafes,84.848,85.128
on,85.229,85.309
the,85.329,85.569
screen,85.589,85.929
and,85.989,86.07
laughter,86.11,86.43
and,86.51,86.61
cheer,86.65,86.83
are,86.91,87.011
near,87.071,87.431
me,87.731,87.952
magic,88.012,88.372
shining,88.412,88.853
making,88.893,89.213
the,89.253,89.373
past,89.413,89.734
cool,89.834,89.954
It's,101.645,101.987
going,102.127,102.469
to,102.509,102.711
die,102.811,103.133
in,103.234,103.435
my,103.495,103.636
dreams,103.797,104.038
