word,start_time,end_time
Yeah.,0.25,0.391
Bitcoin,5.529,6.15
"Cash,",6.19,6.51
no,6.53,6.67
I,6.77,6.89
ain't,6.91,7.19
gonna,7.21,7.511
bash,7.571,7.871
No,7.911,8.091
I,8.171,8.231
ain't,8.351,8.531
gonna,8.572,8.892
ask,9.092,9.252
when,9.312,9.452
I,9.532,9.592
get,9.632,9.813
a,9.853,9.933
little,9.953,10.233
"cash,",10.333,10.633
yeah,10.713,11.254
One,11.454,11.614
"girl,",11.694,12.295
no,12.375,12.555
one's,12.615,12.835
to,12.895,13.015
blame,13.075,13.395
And,13.475,13.556
I,13.636,13.696
wish,13.716,14.056
you,14.096,14.216
"well,",14.276,14.696
but,14.716,14.877
she,14.937,15.117
was,15.137,15.277
another,15.377,15.777
name,15.837,16.118
"Yeah,",16.158,16.458
people,16.478,16.778
lose,16.818,17.098
money,17.158,17.499
in,17.559,17.619
the,17.639,17.759
stands,17.779,18.139
with,18.179,18.339
the,18.379,18.479
wrong,18.54,18.84
guy,18.88,18.94
And,18.98,19.14
sure,19.16,19.5
things,19.54,19.821
can,19.901,20.221
get,20.241,20.381
the,20.421,20.541
clock,20.581,20.901
to,20.921,21.082
"miss,",21.122,21.362
yeah,21.462,21.942
It's,22.082,22.443
a,22.563,22.603
dangerous,22.663,23.303
people's,23.464,23.924
game,24.024,24.364
When,24.384,24.524
I'm,24.584,24.664
chosen,24.685,25.045
by,25.085,25.245
a,25.325,25.385
name,25.425,25.705
and,25.765,25.845
I,25.905,25.926
see,25.946,26.186
the,26.246,26.366
wrong,26.426,26.686
blockchain,26.746,27.407
Bitcoin,27.467,28.047
Cash,28.147,28.448
ain't,28.528,28.728
"trash,",28.808,29.128
it's,29.208,29.308
a,29.408,29.468
pretty,29.508,29.809
good,29.829,30.089
omen,30.269,30.509
That,30.569,30.789
it,30.829,30.869
ain't,30.99,31.33
the,31.39,31.53
same,31.59,31.95
as,31.97,32.03
the,32.11,32.211
Bitcoin,32.271,32.911
Bitcoin,32.951,33.392
Cash,33.472,33.812
ain't,33.912,34.112
"trash,",34.152,34.292
it's,34.372,34.492
a,34.512,34.613
pretty,34.633,34.793
good,34.833,34.913
omen,34.933,35.133
If,35.213,35.253
you,35.293,35.413
do,35.433,35.473
it,35.493,35.594
all,35.754,35.914
for,35.954,36.114
the,36.154,36.275
"Bitcoin,",36.335,36.795
then,36.855,37.176
I'll,37.256,37.456
have,37.556,37.817
the,37.877,37.957
Bitcoin,38.037,38.538
to,38.558,38.678
contact,38.718,39.299
and,39.399,39.519
charge,39.539,39.9
you.,39.92,40.04
Bitcoin,51.556,51.936
Cash,52.037,52.337
and,52.477,52.557
Trash,52.597,53.098
is,53.138,53.238
the,53.278,53.398
same,53.478,53.778
as,53.838,53.879
the,53.979,54.079
Bitcoin.,54.139,54.799
