word,start_time,end_time
I,0.069,0.129
definitely,0.169,0.589
see,0.649,0.87
signs,0.97,1.27
of,1.33,1.39
hope,1.45,1.69
now,2.25,2.45
that,2.511,2.731
we,3.351,3.491
have,3.531,4.071
ordinals,5.012,5.612
that,5.873,6.213
are,6.373,6.793
starting,6.893,7.273
to,7.313,7.554
bring,8.274,8.494
back,8.534,8.734
a,8.814,8.874
culture,8.894,9.295
of,9.355,9.715
actually,9.855,10.215
doing,10.255,10.535
things.,10.575,10.896
It,12.657,12.717
feels,12.777,13.037
like,13.097,13.277
there,13.317,13.517
is,13.577,13.717
real,14.298,14.638
pushback,14.718,15.358
to,15.458,15.939
the,16.159,16.459
laser,16.479,16.799
eye,16.859,16.999
"movement,",17.019,17.46
which,17.66,17.9
is,18.0,18.6
good.,19.301,19.601
It,20.481,21.322
feels,22.883,23.183
like,23.263,23.463
there's,23.523,25.424
some,25.464,25.645
kind,25.685,25.925
of,26.005,26.045
organic,28.379,29.464
return,29.565,30.047
of,30.067,30.107
builder,30.188,30.489
"culture,",30.509,31.192
which,32.116,32.237
is,32.317,32.358
definitely,32.398,32.8
a,32.84,32.88
positive,32.92,33.302
sign,33.342,33.563
to,33.603,33.684
see.,33.724,33.885
