word,start_time,end_time
What,0.575,0.675
do,0.695,0.795
you,0.815,0.915
do,0.935,1.055
if,1.115,1.155
you,1.175,1.276
live,1.316,1.436
in,1.456,1.536
a,1.556,1.596
place,1.636,1.856
where,1.876,2.016
your,2.056,2.216
money,2.316,2.576
is,2.636,2.696
suddenly,2.736,3.097
worth,3.157,3.397
almost,3.917,4.257
nothing?,4.317,4.658
And,5.338,5.398
every,5.418,5.658
"day,",5.698,5.998
because,6.058,6.279
of,6.319,6.359
wild,6.499,6.859
"inflation,",6.939,7.499
it's,7.559,7.639
worth,7.659,8.02
even,8.46,8.72
less.,8.84,9.28
So,16.305,16.465
the,16.485,16.565
only,16.605,16.845
thing,16.865,17.085
backing,17.125,17.526
this,17.566,17.826
money,18.366,18.606
is,18.686,18.946
belief,19.066,19.887
in,20.167,20.247
the,20.267,20.447
competency,20.507,21.468
of,21.708,21.768
the,21.808,21.928
government.,21.968,22.449
"Unfortunately,",23.009,24.01
that's,24.03,24.21
true.,24.29,24.59
Believe,30.354,31.734
"me,",31.774,32.095
there's,32.135,32.315
been,32.335,32.515
a,32.535,32.575
lot,32.755,32.995
of,33.035,33.095
effort,33.195,33.435
and,33.515,33.735
time,33.755,34.195
and,34.235,34.335
energy,34.415,36.956
that's,37.616,38.536
been,38.576,38.956
put,38.996,39.236
into...,39.297,39.537
I,39.597,39.677
just,39.717,39.857
really,39.917,40.057
don't,40.077,45.518
know,45.778,47.359
what,47.619,47.939
to,50.5,51.22
do.,51.24,51.42
The,52.8,52.94
world,53.0,53.46
is,53.58,53.68
only,54.441,54.661
going,54.701,54.841
to,54.861,54.961
buy,54.981,55.341
itself.,55.441,55.881
Let,61.178,61.298
me,61.318,61.358
guess.,61.378,61.698
You're,62.379,62.539
too,62.559,62.719
busy,62.759,63.139
to,63.379,63.48
watch,63.52,63.76
this,63.8,63.92
ad.,64.0,64.2
Just,64.52,64.64
like,64.66,64.78
you,64.8,64.88
were,64.9,65.021
too,65.041,65.201
busy,65.261,65.501
to,65.541,65.641
invest,65.701,66.041
in,66.101,66.181
Bitcoin.,66.261,67.022
For,71.665,71.825
as,71.905,72.025
long,72.085,72.805
as,72.825,72.865
we've,73.026,73.306
been,73.346,73.546
tinkering,73.646,74.026
with,74.046,74.166
computers,74.206,74.847
on,74.967,75.047
any,75.127,75.267
mass,75.327,75.607
"scale,",75.627,76.007
there's,76.368,76.628
been,76.668,76.848
a,76.868,76.888
dream,77.088,77.328
of,77.388,77.448
digital,77.628,78.009
cash.,78.029,78.349
A,79.432,79.492
cache,79.532,79.813
that,79.833,79.953
would,79.993,80.133
function,80.253,80.674
like,80.734,80.914
cache,80.954,81.375
in,81.796,81.896
the,81.916,82.016
sense,82.076,82.336
that,82.376,82.537
it's,82.617,82.777
"non-traceable,",83.198,84.079
"anonymous,",84.319,85.08
"instant,",85.421,86.002
free,86.663,87.123
to,87.143,87.243
"use,",87.464,87.764
and,88.465,88.585
yet,88.665,89.006
would,89.146,89.386
be,89.427,89.567
able,89.587,89.667
to,89.907,90.107
interoperate,90.208,91.029
with,91.069,91.209
computer,91.229,91.65
networks.,91.69,92.07
