word,start_time,end_time
no,0.691,0.811
he,0.851,0.911
somiat,0.991,1.431
un,1.491,1.571
dia,1.611,1.792
més.,1.832,2.312
La,2.372,2.432
llibreta,2.472,2.872
plorant,2.932,3.292
i,3.392,3.452
jo,3.512,3.592
em,3.612,3.672
desperto,3.712,4.273
del,4.313,4.433
"revés,",4.473,5.133
sense,5.193,5.413
res,5.533,5.673
a,5.713,5.753
plasmar,5.793,6.274
però,6.314,6.494
forçant-ho.,6.554,7.494
La,7.554,7.614
lletra,7.634,7.874
ha,7.894,7.954
entrat,7.994,8.235
en,8.275,8.395
"sang,",8.455,8.835
"trio,",8.915,9.295
tiro,9.335,9.495
una,9.535,9.635
moneda,9.675,10.035
i,10.135,10.195
són,10.255,10.356
les,10.396,10.496
meves,10.556,10.756
inquietuds,10.816,11.336
les,11.376,11.476
que,11.516,11.576
acaben,11.596,11.976
de,11.996,12.076
canto.,12.116,12.797
Són,12.897,13.037
tantes,13.097,13.517
que,13.537,13.637
me,13.657,13.757
"n'oblido,",13.777,14.517
que,14.577,14.658
sense,14.718,14.978
tus,15.038,15.298
em,15.338,15.438
"buido,",15.478,16.058
i,16.118,16.158
no,16.178,16.278
les,16.338,16.478
trobo.,16.558,17.179
Però,17.219,17.379
"tocar,",17.439,17.899
"pintar,",17.959,18.299
"cantar,",18.419,18.879
"jugar,",18.92,19.16
estirar,19.2,19.52
i,19.56,19.6
"matxacar,",19.66,20.3
"sí,",20.34,20.6
a,20.66,20.68
la,20.72,20.8
llarga,20.82,21.221
sé,21.281,21.461
que,21.481,21.581
ningú,21.621,21.941
podrà,22.001,22.221
aturar.,22.261,23.061
Avui,23.121,23.322
escriuràs,23.382,23.942
més,23.982,24.102
del,24.142,24.262
que,24.302,24.402
puc,24.462,24.602
"demanar,",24.642,25.403
així,25.463,25.623
que,25.643,25.723
em,25.743,25.803
buido,25.843,26.083
el,26.123,26.223
bit,26.283,26.543
i,26.583,26.603
el,26.643,26.723
que,26.743,26.863
"surti,",26.963,27.303
"sortirà,",27.363,27.844
sí?,27.984,28.064
Em,28.524,28.744
buido,28.764,29.004
el,29.044,29.124
vid,29.185,29.445
i,29.465,29.505
el,29.545,29.625
que,29.645,29.785
surti,29.865,30.165
sortirà.,30.225,30.986
"Jo,",31.046,31.626
"ja,",31.686,32.187
"jo,",32.267,32.807
ja.,32.867,33.648
Vaig,33.668,33.788
a,33.808,33.848
seguir,33.928,34.369
per,34.409,34.529
on,34.569,34.629
ho,34.669,34.709
he,34.749,34.829
"deixat,",34.869,35.509
noves,35.569,35.83
tècniques,35.91,36.39
provaré.,36.43,36.81
"Forçat,",36.951,37.551
"bro,",37.611,38.151
mentre,38.192,38.432
m'escolto,38.472,38.972
rapejar.,39.032,39.793
