word,start_time,end_time
My,0.964,1.104
name,1.124,1.305
is,1.325,1.365
Mike,1.806,1.967
Gold.,2.007,2.207
I,2.648,2.729
am,2.789,2.869
the,2.909,3.21
creator,3.27,3.531
of,3.571,3.611
this,3.631,3.872
program,3.952,4.393
that,4.413,4.553
releases,4.573,5.135
Blossom,5.376,5.797
Bitcoin,5.817,6.138
all,6.158,6.218
the,6.238,6.338
time.,6.398,6.659
Bitcoin.,7.381,8.103
It's,9.504,9.584
a,9.685,9.745
genius.,9.825,10.285
"Yeah,",10.665,10.986
I'm,11.586,11.666
God,11.726,12.047
"certified,",12.067,12.707
but,12.747,12.887
the,12.907,13.008
business,13.048,13.688
is,13.708,13.748
Barnes,13.788,14.089
"diversified,",14.129,14.989
we,15.029,15.13
upping,15.19,15.43
our,15.51,15.61
percentages.,15.63,16.271
I'm,16.291,16.911
with,16.931,17.091
Skrilla,17.111,17.552
and,17.572,17.632
my,17.652,17.772
dog,17.812,18.052
Vader,18.132,18.453
in,18.733,18.813
Las,18.853,19.113
Vegas.,19.173,19.514
Chopping,19.854,20.234
up,20.294,20.474
game,20.494,20.855
with,20.875,21.035
the,21.075,21.135
odds,21.255,21.495
makers.,21.575,21.896
Paid,22.216,22.356
the,22.396,22.496
cost,22.516,22.757
to,22.797,22.917
be,22.937,23.057
the,23.077,23.197
"boss,",23.217,23.437
it,23.517,23.597
ain't,23.637,23.798
involved,23.818,24.158
paper.,24.218,24.838
On,24.959,25.059
my,25.099,25.179
own,25.279,25.419
production,25.459,25.859
means,25.899,26.28
on,26.38,26.46
my,26.48,26.58
margin,26.62,26.96
grader.,26.98,27.301
Income,27.701,28.162
tax,28.182,28.462
dollars,28.522,28.922
is,29.042,29.142
last,29.162,29.303
y'all,29.343,29.623
created.,29.643,29.983
Trucking,30.243,30.584
the,30.604,30.704
"water,",30.724,31.024
pushing,31.064,31.404
lines,31.525,31.765
like,31.805,32.025
Lawrence,32.065,32.345
Taylor.,32.405,32.726
Box,33.186,33.346
stackin',33.426,33.787
like,33.827,34.067
"Jenga,",34.107,34.307
I'm,34.427,34.547
a,34.607,34.667
market,34.707,35.067
shaker,35.107,35.408
Commissary's,35.828,36.448
the,36.488,36.609
"bidder,",36.669,36.929
buggers,37.169,37.489
on,37.569,37.669
retainer,37.709,38.15
Can't,38.41,38.55
comprehend,38.59,38.93
these,38.95,39.25
grown,39.31,39.551
kindergarten,39.571,40.171
gangsters,40.211,40.651
Affiliation,40.852,41.532
chasin',41.572,41.932
"niggas,",41.952,42.213
bears,42.253,42.533
no,42.593,42.733
relation,42.753,43.313
The,43.513,43.634
family,43.674,43.974
grown,44.014,44.294
"holdin',",44.354,44.654
it,44.694,44.754
ain't,44.774,44.954
lonely,45.015,45.335
at,45.375,45.455
the,45.495,45.615
"tip-top,",45.655,46.175
yeah,46.195,46.315
I,46.335,46.416
need,46.816,46.976
extra,47.096,47.336
guacamole,47.376,48.017
on,48.037,48.157
my,48.177,48.297
"chip,",48.317,48.637
I'm,48.977,49.077
lookin',49.097,49.398
for,49.438,49.638
a,49.658,49.698
raise,49.758,50.098
I'm,50.358,50.458
pullin',50.498,50.799
through,50.819,50.959
the,50.979,51.099
"zip,",51.139,51.379
niggas,51.439,51.779
sellin',51.819,52.1
whips,52.14,52.32
a,52.38,52.42
days,52.48,52.8
Some,53.06,53.2
all-star,53.32,53.781
seasons,53.821,54.141
past,54.221,54.441
the,54.461,54.521
rookie,54.561,54.862
phase,54.922,55.262
I,55.582,55.682
need,55.762,55.902
half,55.922,56.042
the,56.082,56.182
bookin',56.202,56.503
fee,56.543,56.683
before,56.703,56.963
I,57.043,57.163
cook,57.203,57.323
the,57.343,57.483
stays,57.503,57.844
A,58.124,58.184
ride,58.224,58.464
of,58.484,58.524
gots,58.544,58.764
to,58.784,58.884
cover,58.924,59.225
Kush,59.265,59.425
and,59.505,59.565
octopus,59.645,60.125
fillets,60.165,60.606
Like,61.487,61.888
seeing,61.908,62.45
books,62.49,62.771
in,62.892,62.972
spades.,62.992,63.494
I,81.933,81.993
have,82.033,82.193
a,82.273,82.333
load,82.353,82.553
of,82.653,82.713
these,82.753,82.954
"tokens,",83.014,83.414
he's,83.454,83.614
coming,83.674,84.074
up,84.174,84.414
Summing,84.434,84.774
lumps,84.814,85.114
under,85.194,85.454
five,85.495,85.795
others,85.875,86.115
in,86.215,86.295
a,86.355,86.415
pumping,86.455,86.835
dump,86.855,88.136
What,88.156,88.316
a,88.396,88.496
"jerk,",88.556,88.756
you're,88.816,88.976
retarded,89.036,89.676
I,89.736,89.856
hear,89.896,90.196
it,90.276,90.376
and,90.456,90.576
I,90.637,90.677
laugh,90.717,90.857
as,90.957,91.037
I,91.137,91.237
subvert,91.277,91.697
the,91.757,91.857
market,91.897,92.417
Rebellion,92.437,92.897
is,92.977,93.057
a,93.177,93.398
"given,",93.438,93.598
it,93.658,93.718
should,93.778,93.958
be,93.978,94.138
no,94.178,94.358
shock,94.458,94.718
Regulated,94.978,95.638
goods,95.658,95.879
shipped,95.979,96.259
to,96.299,96.439
my,96.459,96.679
P.O.,96.839,97.099
box,97.159,97.459
From,97.519,97.659
an,97.759,97.859
anonymous,97.919,98.5
"accomplice,",98.6,99.16
we,99.22,99.42
live,99.46,99.66
beyond,99.72,100.24
this,100.26,100.44
In,100.64,100.76
tunnels,100.78,101.081
of,101.181,101.261
exchanges,101.321,101.781
and,101.861,102.121
quick,102.161,102.401
responses,102.441,103.181
So,103.622,103.782
Mr.,103.802,103.942
"Government,",104.122,104.622
we're,104.642,104.822
"coming,",104.842,105.142
you,105.162,105.302
ain't,105.382,105.482
running,105.522,105.822
shit,105.862,106.042
around,106.103,106.503
"here,",106.543,106.683
we're,106.723,106.903
shutting,106.923,107.123
you,107.143,107.203
down,107.223,107.343
