word,start_time,end_time
The,0.999,1.139
back,1.179,1.459
motors,1.559,1.839
of,1.92,1.98
the,2.02,2.08
ship,2.1,2.34
are,2.36,2.5
just,2.52,2.8
holding,3.14,3.52
it,3.6,4.381
just,4.921,5.141
enough,5.201,5.461
to,5.521,5.681
keep,5.721,5.901
it,5.981,6.041
from,6.082,6.302
bursting,6.642,7.042
into,7.122,7.322
flames.,7.342,7.602
Get,7.662,7.802
this,7.822,7.962
started!,7.982,8.283
Get,8.323,8.443
this,8.463,8.603
started!,8.623,8.963
It's,9.543,10.083
crashing!,10.163,10.584
It's,10.984,11.084
crashing,11.144,11.584
terrible!,11.624,12.164
Oh,12.705,12.865
my!,12.985,13.265
Get,13.285,13.425
out,13.465,13.565
of,13.625,13.665
the,13.685,13.745
"way,",13.765,13.965
please!,13.985,14.305
It's,14.666,14.766
"burning,",14.906,15.246
bursting,15.286,15.606
into,15.646,15.806
"flames,",15.846,16.286
and,16.607,16.707
it's,16.787,16.867
falling,16.907,17.187
on,17.227,17.287
the,17.327,17.387
mooring,17.427,17.707
"bass,",17.727,17.967
and,18.007,18.107
all,18.147,18.267
the,18.307,18.387
folks,18.407,18.668
between,18.728,19.068
us.,19.168,19.208
This,19.248,19.388
is,19.488,19.588
terrible!,19.668,20.088
This,20.128,20.248
is,20.308,20.488
one,20.568,20.669
of,20.709,20.769
the,20.789,20.849
worst,20.889,21.069
catastrophes,21.109,21.829
in,21.929,21.989
the,22.029,22.109
world!,22.169,22.509
"Oh,",22.529,22.569
it's,23.35,23.45
being,23.55,23.77
displaced!,23.91,24.991
"Oh,",26.171,26.351
four,26.672,26.892
or,26.912,26.952
five,27.012,27.252
hundred,27.312,27.613
feet,27.693,27.913
into,27.953,28.133
the,28.193,28.273
sky,28.393,28.754
it,28.814,28.894
is.,28.994,29.094
It's,29.434,29.534
a,29.635,29.695
terrific,29.735,30.315
"crash,",30.375,30.695
ladies,30.776,30.976
and,31.036,31.156
gentlemen.,31.236,31.616
The,31.656,31.756
smoke,31.837,32.157
and,32.217,32.277
the,32.317,32.397
flames,32.597,32.938
now.,33.038,33.358
And,33.638,33.758
the,33.818,33.938
frame,33.999,34.459
is,34.479,34.519
crashing,34.619,35.14
to,35.16,35.3
the,35.34,35.44
ground.,35.48,35.96
Not,36.221,36.441
quite,36.521,36.801
to,36.821,36.941
the,36.981,37.061
mooring,37.141,37.542
mast.,37.602,37.882
All,38.503,38.623
the,38.663,38.863
humanity,38.903,39.664
and,39.684,39.784
all,39.844,39.984
the,40.024,40.144
plans,40.204,40.525
have,40.565,40.665
been,40.705,40.885
speeding,41.045,41.505
around,41.525,41.826
it.,41.886,41.986
I,42.667,42.787
told,42.887,43.187
you.,43.227,43.407
I,43.447,43.467
gathered,43.487,44.989
and,45.029,45.129
talked,45.249,45.529
to,45.569,45.669
people,45.709,46.29
and,46.59,46.71
friends,46.81,47.071
around,47.151,47.451
there.,47.491,47.831
It's,49.152,49.233
"a,",49.313,49.373
it's,49.533,49.693
"a,",49.813,49.953
oh.,49.973,50.033
I,51.778,51.898
can't,51.938,52.158
"talk,",52.218,52.418
ladies,52.498,52.959
and,53.039,53.119
gentlemen.,53.259,53.679
"Honestly,",54.399,54.779
it's,54.879,54.96
just,55.0,55.16
laying,55.24,55.46
there,55.5,55.74
a,55.76,55.78
massive,55.82,56.28
smoking,56.44,56.9
wreckage.,56.92,57.701
And,58.141,58.241
everybody,58.321,59.021
can,59.201,59.462
hardly,59.502,59.922
breathe,60.022,60.302
and,60.402,60.482
talk.,60.722,60.982
It's,61.062,61.262
crazy.,61.302,61.683
"Lady,",62.023,62.363
I'm,62.863,63.003
sorry.,63.203,63.603
"Honestly,",65.324,66.405
I,66.545,66.625
can,66.665,66.805
hardly,66.845,67.165
breathe.,67.225,67.565
I'm,68.346,68.446
going,68.486,68.626
to,68.726,68.846
step,68.866,68.966
inside,68.986,69.386
where,69.426,69.626
I,69.646,69.666
cannot,69.706,70.086
see.,70.126,71.907
"Darling,",72.187,72.567
that's,72.587,72.788
terrible.,72.908,73.508
I,74.308,74.428
can't...,74.568,74.848
Listen,76.854,77.175
"folks,",77.215,77.496
I'm,77.958,78.058
going,78.078,78.179
to,78.199,78.239
have,78.259,78.379
to,78.42,78.54
stop,78.56,78.801
for,78.841,78.981
a,79.022,79.042
minute,79.082,79.363
because,79.383,79.824
I've,79.884,80.246
lost,80.266,80.466
the,80.507,80.627
voice.,80.667,80.888
This,80.928,81.068
is,81.149,81.229
the,81.269,81.39
worst,81.43,81.65
thing,81.691,81.831
I've,81.851,82.072
ever,82.092,82.273
witnessed.,82.313,82.694
