word,start_time,end_time
And,0.149,0.269
there's,0.469,1.27
a,1.29,1.31
lot,1.43,1.73
that,1.77,1.91
I,1.97,2.05
wish,2.09,2.21
that,2.27,2.45
you,2.47,2.61
could,2.63,2.77
know,2.83,3.05
Cause,3.071,3.591
what,3.611,3.731
you,3.771,3.871
get,3.911,4.071
to,4.091,4.191
see,4.211,4.471
of,4.511,4.591
me,4.611,4.891
is,4.911,4.951
what,4.991,5.112
I,5.132,5.272
choose,5.312,5.472
to,5.492,5.572
show,5.612,5.952
Was,5.972,6.412
down,6.472,6.712
for,6.792,7.052
a,7.072,7.133
"little,",7.153,7.373
so,7.413,7.473
just,7.833,8.153
like,8.193,8.353
a,8.413,8.493
quitter,8.613,8.893
crying,8.973,9.274
in,9.314,9.394
my,9.434,9.574
dorm,9.634,9.914
room,9.974,10.254
Like,10.314,10.474
a,10.534,10.574
picture,10.654,11.014
to,11.054,11.215
remember,11.255,11.735
Sometimes,11.935,12.375
you,12.395,12.475
gotta,12.515,12.755
pick,12.775,12.855
up,12.915,12.975
what,13.015,13.115
you,13.236,13.476
got,13.536,13.776
and,13.856,13.936
move,13.956,14.076
along,14.156,14.536
Cause,14.876,15.016
it,15.096,15.156
ain't,15.216,15.337
giving,15.397,15.737
"up,",15.817,16.037
it's,16.257,16.357
simply,16.377,17.017
moving,17.077,17.438
on,17.738,17.838
Cause,17.858,17.998
it,18.078,18.198
can,18.238,18.298
get,18.338,18.478
hard,18.558,18.878
when,18.918,19.078
you're,19.098,19.218
trying,19.258,19.459
to,19.479,19.579
make,19.619,19.779
the,19.819,19.919
right,19.999,20.259
move,20.299,20.599
Sometimes,20.719,21.259
you,21.279,21.339
gotta,21.42,21.74
slow,21.76,22.02
down,22.06,22.28
to,22.3,22.4
catch,22.42,22.64
tonight's,22.68,23.06
view,23.18,23.481
Upstage,23.581,24.581
crowd,24.701,25.021
looking,25.041,25.321
like,25.361,25.602
teen,25.662,25.962
spirit,26.002,26.362
I,42.234,42.254
always,42.274,42.394
think,42.414,42.614
I,42.694,42.774
love,42.814,42.994
you,43.054,43.815
"now,",43.995,44.755
long,44.795,44.915
as,44.935,44.995
all,45.035,45.155
the,45.175,45.315
hours,45.335,45.555
come,45.615,45.876
in,46.056,46.316
Feels,47.456,47.756
good,47.796,48.096
right,48.376,48.557
"here,",48.577,48.957
feels,49.677,50.597
good,50.677,50.977
right,51.017,51.298
here,51.518,51.998
All,52.138,52.258
the,52.698,53.058
windows,53.138,53.478
"down,",53.518,53.799
all,54.319,54.439
the,54.479,54.559
"alarms,",54.639,55.259
always,55.699,55.939
coming,55.999,56.3
down,56.36,56.68
so,56.72,56.82
it's,56.84,56.98
good,57.04,57.36
