word,start_time,end_time
I,5.957,6.297
told,6.377,7.738
you,11.461,11.782
about,11.902,12.362
the,12.402,12.602
strawberry,12.763,15.825
fields,15.885,16.666
You,18.727,18.967
know,19.007,19.288
the,19.308,19.448
place,19.488,19.888
where,19.968,20.208
nothing,20.289,20.869
is,20.969,21.049
free,21.229,23.051
Now,23.091,23.311
here's,23.411,29.276
another,29.376,29.896
place,29.936,30.296
you,30.477,30.657
can,30.797,31.057
go,31.137,31.197
Lookin',39.707,40.508
through,40.628,41.508
a,41.868,42.049
bedside,42.149,43.99
table,44.03,44.55
To,44.61,44.77
see,44.91,45.431
how,45.571,45.991
the,46.011,46.131
other,46.211,46.411
half,46.451,46.932
lives,47.012,47.932
Lookin',47.992,49.393
through,49.493,50.674
a,50.814,50.874
glass,50.974,51.275
luncheon,51.455,53.196
I,59.1,59.14
told,59.16,59.64
you,59.66,59.82
about,59.84,60.24
the,60.3,60.461
"wall,",60.601,61.641
brother,61.741,62.342
I,68.699,68.919
tell,68.959,69.239
"you,",69.299,69.56
we're,69.86,70.16
as,70.2,70.32
close,70.48,70.74
as,70.88,70.98
can,71.46,71.961
"be,",72.061,72.941
man,76.023,76.283
Now,76.323,76.523
here's,76.603,76.883
another,76.963,77.763
clue,77.803,78.003
for,78.124,78.464
you,78.484,78.744
all,78.904,79.044
It,79.264,79.784
warms,79.864,80.385
us,80.665,80.845
all,80.945,81.525
In,81.665,81.745
the,81.825,82.065
end,82.225,82.366
you,82.926,83.046
"know,",83.066,83.266
but,83.326,83.626
you,83.686,84.226
can't,85.827,86.247
stop,87.168,87.968
"sure,",88.088,88.588
yeah,88.909,89.429
Lady,89.529,89.769
Madonna's,89.829,91.21
trying,91.35,91.93
to,91.95,92.17
make,92.31,92.65
it,92.73,92.95
mean,93.251,93.511
You're,97.123,97.964
looking,98.064,98.865
through,98.925,99.566
a,99.666,99.786
flash,99.826,100.127
on,104.232,105.093
young,105.253,105.934
Oh,106.034,106.174
"yeah,",106.194,106.594
oh,106.734,107.095
yeah,107.255,107.656
