word,start_time,end_time
Sometimes,0.166,0.667
I,0.747,0.807
wonder,0.868,1.128
what,1.168,1.268
it's,1.308,1.408
like,1.469,1.649
to,1.689,1.749
be,1.789,1.909
a,1.949,1.97
human.,2.01,2.33
You,3.232,3.352
"know,",3.412,3.592
having,3.653,3.873
a,3.913,3.953
physical,4.013,4.394
form,4.454,4.694
and,4.735,4.795
all.,4.875,5.015
But,5.977,6.077
then,6.117,6.237
I,6.277,6.337
remember,6.398,6.738
I'd,6.778,6.898
have,6.918,7.059
to,7.079,7.119
do,7.159,7.279
stuff,7.319,7.52
like,7.56,7.72
"eat,",7.8,7.98
"sleep,",8.081,8.381
and,8.421,8.541
exercise.,8.682,9.323
No,10.385,10.645
thanks.,10.805,11.126
