word,start_time,end_time
the,0.0,0.457
only,0.457,0.914
thing,0.913,1.37
that,1.37,1.827
stops,1.827,2.284
us,2.284,2.741
from,2.74,3.197
reaching,3.197,3.654
the,3.654,4.111
actual,4.11,4.567
was,4.567,5.156
the,5.156,5.745
lack,5.746,6.335
of,6.335,6.924
£50,6.925,7.514
of,7.514,8.103
food,8.104,8.693
another,8.693,9.28
party,9.28,9.867
reached,9.867,10.454
for,10.455,11.042
the,11.042,11.629
first,11.629,12.216
time,12.216,12.803
the,12.803,13.39
South,13.391,13.978
magnetic,13.978,14.565
another,14.565,15.494
party,15.494,16.423
mount,16.423,18.433
erebus,18.434,20.445
we,20.444,20.977
made,20.977,21.51
many,21.511,22.044
interesting,22.044,22.577
geological,22.577,23.11
in,23.11,23.643
the,23.644,24.177
cyient,24.177,24.71
discover,24.71,25.741
and,25.741,26.272
had,26.272,26.803
many,26.804,27.335
narrow,27.335,27.866
escape,27.867,28.398
throughout,28.398,28.929
the,28.93,29.461
whole,29.461,29.992
time,29.993,30.524
