word,start_time,end_time
a,4.036,4.096
blob.,4.136,4.496
Spike,5.437,7.258
1.,0.0,0.0
In,7.798,7.938
"2049,",0.0,0.0
man,8.559,8.859
merged,8.939,9.379
with,9.419,9.579
machine.,9.619,10.04
The,10.84,10.94
cosmos,10.98,11.421
"wrinkled,",11.461,11.901
and,12.461,12.561
Blob,12.601,12.901
9,0.0,0.0
was,13.282,13.422
forged.,13.482,13.962
In,14.582,14.642
the,14.662,14.743
fires,14.783,15.183
of,15.243,15.303
Spike,15.343,16.263
"49,",0.0,0.0
"humanity,",16.904,17.424
the,17.744,17.844
"synced,",17.904,18.205
"linked,",18.745,19.045
"outliers,",19.726,20.306
the,20.886,21.006
freedom,21.026,21.347
"fighters,",21.387,21.787
"neuropunks,",23.488,24.168
guardians,25.429,25.869
of,25.889,25.949
the,25.989,26.049
free,26.109,26.29
"mind,",26.33,26.61
This,83.066,83.227
is,83.308,83.368
your,83.409,83.55
brain,83.57,83.792
on,83.832,84.013
vibe.,84.074,84.295
