word,start_time,end_time
Maybe,0.919,1.199
we,1.239,1.339
could,1.359,1.52
get,1.54,1.68
started.,1.72,2.06
I,2.12,2.22
think,2.26,2.44
everyone,2.521,2.881
probably,2.921,3.381
already,3.401,4.022
knows,4.042,4.282
who,4.322,4.522
you,4.542,4.663
"are,",4.763,4.903
but,4.963,5.123
maybe,5.163,5.423
just,5.443,5.603
give,5.643,5.764
a,5.884,5.904
"little,",5.964,6.704
a,6.945,6.985
"little,",7.025,7.325
you,7.345,7.605
"know,",7.645,7.765
bio.,7.805,10.968
The,11.028,11.149
author,11.269,11.589
of,11.629,11.669
the,11.709,11.809
Bitcoin,11.849,12.29
White,12.35,12.57
Paper,12.63,12.95
goes,12.99,13.211
by,13.291,13.591
Satoshi,13.771,14.572
Nakamoto.,14.892,15.973
on,17.458,17.578
Bitcoin.,17.638,18.178
Thousands,18.558,19.739
of,19.879,20.079
people,20.159,21.599
would,21.639,21.799
like,21.859,22.019
to,22.039,22.239
know,22.279,22.619
who,22.659,22.8
really,22.82,23.08
created,23.14,23.52
"Bitcoin,",23.58,24.02
but,24.5,24.6
they,24.64,24.88
used,24.94,25.14
"anonymous,",25.22,25.86
untraceable,25.96,26.681
credentials.,26.701,27.281
And,27.361,27.441
so,27.461,27.501
that's,27.521,27.641
why,27.661,27.721
it's,27.741,27.901
so,27.941,28.201
hard,28.261,28.341
to,28.381,28.461
pinpoint,28.541,29.081
who,29.441,29.561
it,29.581,29.761
may,29.782,29.962
be.,30.022,30.402
And,30.502,30.622
then,30.642,30.982
we,31.042,31.182
know,31.222,31.402
these,31.422,31.562
kids,31.582,31.922
were,32.062,32.642
really,32.722,33.102
into,33.242,34.083
the,34.923,35.143
background.,35.223,35.983
Cypherpunks,63.346,64.168
emerged,64.228,64.769
in,64.809,64.929
the,64.949,65.069
early,65.109,65.43
90s,65.51,65.55
because,65.59,66.352
they,66.372,66.732
were,66.792,66.933
hyper-concerned,66.973,67.754
about,67.814,68.135
"privacy,",68.195,68.596
about,68.676,69.137
personal,69.157,70.038
liberty.,70.118,70.539
Now,114.255,114.675
most,114.715,114.855
people,114.895,115.095
call,115.115,115.295
Bitcoin,115.335,115.716
a,115.756,115.836
virtual,115.956,116.396
"currency,",116.476,116.996
but,117.096,117.276
I,117.296,117.316
call,117.376,117.576
it,117.596,118.136
electronic,118.296,118.997
gold.,119.137,120.277
Like,120.437,120.677
"gold,",120.737,120.977
Bitcoin,121.057,121.538
has,121.558,121.678
no,121.718,121.898
central,121.958,122.918
fund.,122.958,123.078
Like,123.218,123.458
"gold,",123.538,123.798
anyone,123.899,124.219
can,124.259,124.379
recognize,124.439,124.899
it,124.919,124.959
and,125.019,125.119
test,125.159,125.399
it.,125.479,125.579
Like,125.639,125.879
"gold,",125.959,126.259
anyone,126.359,126.78
can,126.82,127.08
mine,127.1,127.32
it,127.38,127.44
if,127.52,127.6
they,127.64,127.76
have,127.78,127.86
the,127.9,128.0
resources.,128.02,128.38
Like,128.94,129.12
"gold,",129.2,129.501
there,129.561,129.741
will,129.761,129.961
always,129.981,130.301
be,130.341,130.401
a,130.421,130.441
limited,130.461,130.861
"supply,",130.881,131.361
and,131.461,131.561
thus,131.601,131.861
its,132.041,132.202
value,132.222,132.522
will,132.582,132.742
increase.,132.782,133.242
And,133.562,133.702
like,133.822,134.022
"gold,",134.882,135.003
Bitcoin,135.023,135.423
is,135.603,135.723
brilliant.,135.763,136.223
You,158.3,158.42
very,158.46,158.68
quickly,158.88,159.201
get,159.221,159.361
caught,159.381,159.761
up,159.841,159.921
in,160.001,160.041
the,160.061,160.161
question,160.221,160.721
of,160.741,160.781
who,161.141,161.301
is,161.422,161.522
Satoshi,161.582,162.122
Nakamoto?,162.162,162.842
Where,162.982,163.142
did,163.162,163.282
this,163.302,163.442
come,163.522,163.743
from?,163.783,163.943
Who,164.023,164.183
is,164.263,164.343
this,164.403,164.563
person?,164.623,164.963
I,165.043,165.103
"mean,",165.123,165.223
this,165.243,165.363
is,165.443,165.563
the,165.703,166.004
2000s.,166.344,166.584
Information,166.624,167.204
is,167.244,167.324
out,167.364,167.484
there.,167.504,167.944
Everyone,167.984,168.305
knows,168.325,168.485
everything,168.545,168.845
about,169.085,169.285
everybody.,169.325,169.725
How,169.925,170.005
can,170.045,170.145
there,170.165,170.286
possibly,170.326,170.786
be,170.826,170.966
a,170.986,171.006
person,171.066,171.366
that,171.386,171.546
nobody,171.626,171.986
knows,172.046,172.266
who,172.306,172.427
this,172.467,172.587
guy,172.647,172.847
is?,173.027,173.127
