word,start_time,end_time
And,0.839,0.919
he,0.939,1.039
was,1.079,1.199
"like,",1.26,1.46
"yo,",1.54,2.02
do,2.04,2.08
you,2.12,2.241
know,2.281,2.441
how,2.501,2.661
happy,2.761,3.081
I,3.162,3.242
was,3.282,3.482
for,3.562,3.642
you,3.662,3.802
to,3.842,3.982
see,4.043,4.283
you,4.303,4.483
just,4.543,4.723
shoot,4.763,4.964
up,5.024,5.104
to,5.124,5.224
the,5.264,5.324
top,5.384,5.604
of,5.664,5.724
the,5.744,5.824
Bitcoin,5.864,6.225
conversation?,6.245,6.926
He's,6.946,7.386
"like,",7.566,7.787
"yo,",7.807,7.967
you,7.987,8.147
really,8.207,8.627
did,8.668,8.828
the,8.868,8.988
impossible.,9.028,9.669
We,10.69,10.91
really,11.25,11.611
got,11.791,12.031
to,12.071,12.271
figure,12.311,12.592
out,12.652,12.772
a,12.792,12.812
better,13.172,13.593
way,13.773,13.933
to,13.953,14.093
fund,14.113,14.254
it.,14.434,14.514
Bitcoin.,14.534,15.195
What?,15.235,15.375
I,15.455,15.575
don't,15.675,15.975
know.,15.995,16.436
It's,16.456,16.676
just,16.696,16.856
a,16.916,16.996
"tool,",17.177,17.297
isn't,17.397,17.637
it?,17.897,17.937
Bitcoin.,31.803,33.004
There,33.684,34.125
will,34.145,34.805
only,34.925,35.145
ever,35.185,35.366
be,35.386,35.746
21,0.0,0.0
million,35.906,36.366
Bitcoin,36.386,37.567
mined.,37.747,38.128
Open,38.208,38.668
doors,38.768,41.971
for,42.091,43.171
all,43.392,43.592
"colors,",43.612,43.892
you,43.972,44.512
know,44.873,45.653
what,45.713,46.074
I,46.874,47.094
mean?,47.295,47.715
For,47.995,48.075
all,48.215,48.335
"opinions,",48.455,49.076
for,49.556,49.977
all,50.177,50.437
ideologies.,50.457,51.538
It's,51.618,51.998
an,52.058,52.198
alien,52.398,52.819
life,52.919,53.179
form.,53.279,53.639
Bitcoin.,53.76,55.0
This,101.326,108.391
is,108.471,108.571
John,108.631,108.891
McAfee,108.951,109.471
and,109.752,109.872
"you,",109.952,110.192
lucky,111.353,111.633
"people,",111.673,111.953
are,112.013,113.134
listening,113.194,113.674
to,113.754,114.034
Guns,115.015,115.575
and,116.016,116.196
Money.,116.456,116.576
