word,start_time,end_time
Do,0.349,0.429
you,0.489,0.59
realize,0.65,1.15
that,1.21,1.35
in,1.39,1.471
the,1.511,1.611
world,1.671,1.991
of,2.051,2.111
"blockchain,",2.171,2.772
it's,3.473,3.613
the,3.673,3.793
longest,3.853,4.293
chain,4.394,4.614
that,4.654,4.794
prevails?,4.814,5.355
Just,6.636,6.816
like,6.856,7.016
in,7.076,7.156
"nature,",7.216,7.537
it's,7.597,7.717
a,7.797,7.837
game,7.857,8.097
of,8.137,8.237
survival,8.278,8.798
of,8.838,8.938
the,8.958,9.038
fittest,9.078,9.459
where,9.539,9.819
only,10.6,10.94
the,11.201,11.321
mightiest,11.401,11.841
wins.,11.901,12.162
