word,start_time,end_time
Last,1.534,1.814
but,1.854,1.994
not,2.034,2.234
"least,",2.314,2.735
I,3.895,3.955
want,3.995,4.155
to,4.175,4.255
thank,4.295,4.515
me.,4.555,4.735
I,7.777,7.837
want,7.877,7.997
to,8.017,8.097
thank,8.137,8.357
me,8.417,8.557
for,8.637,8.757
believing,8.797,9.237
in,9.257,9.317
me.,9.357,9.577
I,10.678,10.758
want,10.798,10.918
to,10.938,11.018
thank,11.058,11.278
me,11.338,11.498
for,11.558,11.678
doing,11.718,11.958
all,12.019,12.139
this,12.159,12.299
hard,12.339,12.619
work.,12.659,12.899
I,14.059,14.139
want,14.179,14.299
to,14.319,14.4
thank,14.44,14.68
me,14.74,14.9
for,14.98,15.14
having,15.24,15.5
no,15.54,15.72
days,15.76,16.06
off.,16.2,16.36
I,17.661,17.741
want,17.781,17.901
to,17.921,18.001
thank,18.041,18.301
me,18.361,18.821
for,19.182,19.322
never,19.382,19.622
quitting.,19.682,20.062
I,21.081,21.141
want,21.161,21.281
to,21.321,21.381
thank,21.421,21.641
me,21.701,21.821
for,21.881,21.981
always,22.081,22.401
being,22.441,22.642
a,22.702,22.742
giver,22.802,23.162
and,23.622,23.722
trying,23.762,24.002
to,24.022,24.082
give,24.122,24.402
more,24.442,24.622
than,24.662,24.782
I,24.822,24.902
receive.,24.922,25.262
I,25.282,25.302
want,25.342,25.462
to,25.502,25.562
thank,25.603,25.823
me,25.863,26.023
for,26.083,26.283
trying,26.663,26.863
to,26.883,26.943
do,26.983,27.103
more,27.143,27.323
right,27.383,27.603
than,27.623,27.763
wrong.,27.783,28.043
I,28.103,28.163
want,28.183,28.323
to,28.343,28.403
thank,28.443,28.664
me,28.724,28.904
for,28.944,29.064
just,29.104,29.324
being,29.784,30.064
me,30.104,30.244
at,30.284,30.344
all,30.424,30.564
times.,30.624,30.924
Snoop,30.944,31.184
"Dogg,",31.204,31.404
you,31.424,31.544
a,31.564,31.584
bad...,31.644,31.845
