word,start_time,end_time
Are,0.189,0.29
you,0.33,0.47
aware,0.53,0.831
that,0.871,1.011
Udi,1.151,1.352
Wertheimer,1.392,1.953
and,2.013,2.113
his,2.153,2.273
wizards,2.334,2.634
mined,2.754,3.035
the,3.095,3.175
biggest,3.235,3.516
block,3.596,3.836
and,3.897,3.997
transaction,4.037,4.558
in,4.578,4.658
Bitcoin,4.718,5.119
history?,5.139,5.48
A,6.261,6.321
staggering,6.381,6.802
3.96,0.0,0.0
megabytes!,8.245,8.786
Do,9.507,9.588
you,9.608,9.708
think,9.728,9.848
this,9.888,10.028
record,10.109,10.409
will,10.429,10.59
stand,10.63,10.89
the,10.91,10.99
test,11.03,11.251
of,11.291,11.351
time?,11.391,11.612
