word,start_time,end_time
Some,0.109,0.369
say,0.469,0.93
the,1.03,1.13
world,1.17,1.51
will,1.55,1.73
end,1.83,2.01
in,2.05,2.15
"fires,",2.21,2.731
some,2.891,3.131
say,3.171,3.371
in,3.411,3.511
ice.,3.731,3.911
From,4.792,4.932
what,4.972,5.132
I've,5.212,5.352
tasted,5.432,5.893
of,5.953,6.053
desire,6.093,6.673
I,6.693,6.713
hold,7.173,7.494
with,7.594,7.774
those,7.874,8.194
who,8.314,8.474
favour,8.554,8.915
fire.,8.995,9.395
But,10.255,10.395
if,10.456,10.556
it,10.636,10.756
had,10.796,11.036
to,11.076,11.196
perish,11.296,11.736
"twice,",11.816,12.257
I,13.097,13.157
think,13.197,13.377
I,13.457,13.517
know,13.557,13.718
enough,13.778,14.078
of,14.118,14.218
hate,14.338,14.678
to,15.439,15.579
know,15.659,15.919
that,16.039,16.199
for,16.279,16.519
destruction,16.559,17.32
ice,17.62,17.82
is,18.14,18.24
also,18.481,18.821
great,18.941,19.321
and,19.581,19.681
would,19.721,19.901
suffice.,19.941,20.482
