word,start_time,end_time
Welcome,1.49,2.35
to,2.45,2.73
ZomboCop.,2.77,4.391
This,5.051,5.291
is,5.751,6.171
ZomboCop.,6.311,8.832
Welcome.,8.952,11.573
This,12.133,12.393
is,12.714,12.854
ZomboCop.,12.934,13.974
Welcome,14.374,15.094
to,15.254,15.475
ZomboCop.,15.495,17.035
You,17.875,18.015
can,18.036,18.196
do,18.236,18.416
anything,18.496,19.016
at,19.096,19.216
ZomboCop.,19.256,20.136
Anything,21.177,21.637
at,21.717,21.837
all.,21.997,23.277
The,24.278,24.458
only,24.658,25.098
limit,25.158,25.558
is,25.978,26.138
yourself.,26.198,26.879
Welcome,28.272,28.913
to,29.193,29.413
Zombo-Kom.,29.473,30.894
Welcome,32.214,32.955
to,33.475,33.695
Zombo-Kom.,33.815,34.676
This,36.117,36.397
is,36.757,37.137
Zombo-Kom.,37.738,38.998
Welcome,39.879,40.719
to,41.039,41.26
Zombo-Kom.,41.38,42.72
This,43.681,43.901
is,44.001,44.081
Zombo-Kom.,44.161,45.002
Welcome.,45.102,45.802
"Yes,",47.183,48.003
this,48.444,48.964
is,49.865,49.965
Zombo-Kom.,50.065,50.625
This,52.074,52.314
is,52.434,52.514
"Sambhoka,",52.594,53.555
and,53.895,54.055
welcome,54.155,54.796
to,54.816,55.056
you,55.076,55.416
who,55.496,55.616
have,55.676,55.856
come,55.936,56.377
to,56.597,56.777
Sambhoka.,56.817,57.637
Anything,59.418,60.079
is,60.559,60.719
possible,60.799,62.84
at,62.86,62.9
Sambhoka.,63.041,63.841
You,65.302,65.482
can,65.582,65.962
do,66.062,66.443
anything,66.823,67.383
at,67.643,67.763
Sambhoka.,67.943,69.845
The,70.845,71.065
infinite,71.245,71.886
is,72.166,72.306
possible,72.446,73.507
at,73.647,73.767
Sambhoka.,73.907,74.767
The,76.068,76.268
unattainable,76.428,77.509
is,77.649,77.809
unknown,78.17,78.95
at,79.05,79.17
Sambhoka.,79.33,80.051
Welcome,81.354,82.175
to,82.315,82.495
Zambokar.,82.595,83.616
This,84.497,85.378
is,85.679,85.859
Zambokar.,86.039,87.781
Welcome,88.021,88.742
to,88.762,89.022
Zambokar.,89.042,90.363
Welcome.,90.884,91.745
This,92.345,92.746
is,93.206,93.567
Zambokar.,93.827,95.128
Welcome,95.949,96.59
to,96.83,97.09
Zambokar.,97.19,97.911
