word,start_time,end_time
$1.5,0.0,0.0
million,4.248,4.829
dollars,4.889,5.971
"man,",6.211,6.731
that's,6.852,7.112
how,7.252,7.553
it's,7.733,8.093
done.,8.153,8.434
I,8.534,8.634
love,8.854,9.315
"you,",9.335,9.495
I,9.635,9.755
love,9.835,11.317
"you,",11.698,11.798
I,11.818,11.838
love,11.858,12.158
"you,",12.198,12.399
I,12.539,12.559
love,12.619,13.46
"you,",13.48,13.921
I,14.381,14.481
love,14.521,15.202
you.,15.342,15.723
With,30.763,31.003
an,31.143,31.303
email,31.323,31.563
"address,",31.683,31.964
you,32.204,32.364
can,32.384,32.544
tap,32.664,32.884
into,32.924,33.185
2,0.0,0.0
million,33.225,33.525
other,33.545,33.705
computers,33.725,34.386
on,34.606,34.646
a,34.706,34.726
worldwide,34.746,35.226
system,35.306,35.527
called,35.587,35.907
the,35.927,36.087
Internet.,36.287,37.228
You,37.428,37.748
can,37.768,37.909
send,38.109,38.569
and,38.789,38.869
receive,38.909,39.49
mail,39.55,39.87
to,39.93,39.99
and,40.01,40.13
from,40.15,40.291
people,40.331,40.631
all,40.871,41.311
over,41.331,41.532
the,41.932,42.192
world.,42.212,42.352
The,56.764,56.865
violence,56.925,57.385
broke,57.405,57.565
out,57.605,57.725
around,57.745,58.026
1,0.0,0.0
o'clock,58.146,58.686
this,58.726,58.886
afternoon,58.986,59.367
on,59.427,59.507
Hollywood,59.567,59.947
"Boulevard,",59.967,60.327
right,60.367,60.528
in,60.548,60.688
front,60.728,60.868
of,60.908,60.948
the,60.988,61.088
Hollywood,61.128,61.368
and,61.508,61.588
Highland,61.628,62.009
complex.,62.029,62.509
A,62.529,62.569
lady,62.609,62.729
that,62.769,62.909
was,62.93,63.03
getting,63.05,63.33
left,63.35,63.49
behind,63.53,63.91
took,63.93,64.15
a,64.171,64.191
metal,64.211,64.671
spike,64.731,64.931
off,65.051,65.171
her,65.251,65.351
own,65.512,65.712
truck,65.752,66.092
and,66.372,66.512
started,66.612,67.133
smashing,67.313,67.733
the,67.753,67.854
windows,67.894,68.254
on,68.374,68.414
the,68.434,68.594
cruiser.,68.614,69.054
She,69.395,69.615
took,69.715,69.895
out,69.955,70.095
every,70.336,70.716
window,70.756,71.076
in,71.136,71.216
the,71.236,71.336
vehicle,71.356,71.637
except,71.657,71.877
for,71.997,72.177
the,72.237,72.437
front,72.457,72.577
dash.,72.597,73.238
Then,73.338,73.538
casually,73.638,74.539
reaches,74.559,74.939
into,75.019,75.199
the,75.219,75.32
car,75.38,75.76
and,75.98,76.1
rips,76.32,76.621
out,76.961,77.101
the,77.181,77.261
officer's,77.361,77.782
computer,77.822,78.342
and,78.782,78.882
simply,78.963,79.383
walks,79.443,79.643
away.,79.803,80.164
Dad,89.827,90.027
can,90.047,90.167
log,90.207,90.327
on,90.367,90.447
24,0.0,0.0
hours,90.487,90.607
a,90.667,90.747
day,90.787,90.967
and,91.048,91.128
find,91.928,92.088
out,92.188,92.329
what,95.791,96.272
the,101.756,101.977
email,102.077,102.377
mailman,102.397,102.997
has,103.037,103.198
dropped,103.318,103.618
off.,103.898,104.138
From,120.959,122.04
high,122.06,122.32
"technology,",122.36,123.081
the,123.161,123.281
computer,123.301,123.762
store.,123.802,124.082
Introducing,124.423,125.064
Apple,125.164,125.424
"II,",125.604,125.724
the,126.025,126.165
easy,126.245,126.465
to,126.485,126.545
operate,126.665,127.046
home,127.086,127.286
computer.,127.326,127.827
Just,128.287,128.428
hook,128.468,128.648
it,128.668,128.708
up,128.748,128.868
to,128.888,128.968
your,128.988,129.108
TV,129.148,129.329
to,129.349,129.629
create,129.689,129.989
dazzling,130.029,130.47
color,130.51,130.77
display.,130.81,131.131
Where,155.104,155.284
"drugs,",155.345,155.706
"porn,",155.826,156.188
and,156.308,156.408
murder,156.469,156.79
hide,156.85,157.051
"online,",157.091,157.492
there,157.653,157.874
is,157.914,157.974
something,157.994,158.255
called,158.275,158.396
the,158.416,158.496
Silk,158.556,158.757
Road.,158.857,159.058
