word,start_time,end_time
you,2.805,2.865
This,11.892,12.092
system,12.152,12.592
is,12.632,12.732
trying,12.752,13.032
to,13.052,13.173
fuck,13.213,13.453
with,13.493,13.633
my,13.653,13.773
immunity,13.833,14.913
with,14.953,15.133
flu,15.153,15.393
jab's,15.453,15.693
ingredients,15.794,16.414
are,16.594,16.754
no,16.774,16.894
use,17.094,17.234
to,17.254,17.434
me,17.474,17.574
A,17.654,17.734
question,17.754,18.254
to,18.275,18.395
the,18.415,18.495
dogmas,18.535,18.975
are,19.095,19.195
classed,19.475,19.755
as,19.835,19.895
lunacy,19.915,20.635
But,20.675,20.936
I,20.956,20.976
just,20.996,21.156
wanna,21.196,21.456
know,21.476,21.656
my,21.696,21.836
choice,21.916,22.196
so,22.236,22.396
I,22.496,22.576
can,22.616,22.776
be,22.796,22.936
true,22.976,23.216
to,23.256,23.417
me,23.437,23.557
I,23.657,23.737
wanna,23.817,24.397
be,24.417,24.537
"civilized,",24.597,25.237
fuck,25.497,25.737
this,25.777,25.917
uncivilized,25.998,26.818
Killing,26.878,27.238
in,27.298,27.398
the,27.438,27.518
"country,",27.578,27.958
giving,27.998,28.298
weapons,28.338,28.819
to,28.879,28.999
the,29.019,29.119
victims,29.139,29.639
to,29.679,29.819
fight,29.859,30.219
wars,30.299,30.719
Why,31.18,31.42
cause,31.5,31.82
more,31.9,32.14
"bloodshed,",32.2,32.76
more,33.06,33.28
"death,",33.34,33.56
more,33.781,34.061
tears,34.101,34.321
and,34.401,34.481
more,34.521,34.741
upset,34.901,35.441
Be,36.302,36.502
the,36.542,36.642
change,36.682,37.002
I,37.042,37.122
wanna,37.162,37.422
see,37.482,37.682
in,37.742,37.822
the,37.842,37.922
world,38.002,38.462
People,38.542,38.843
are,38.943,39.003
hungry,39.043,39.423
in,39.483,39.563
the,39.603,39.683
country,39.723,40.023
