word,start_time,end_time
When,5.202,5.383
you,5.403,5.543
get,5.583,5.783
into,5.823,6.063
Bitcoin,6.103,6.664
for,6.684,6.824
as,6.904,7.004
long,7.044,7.244
as,7.284,7.364
I've,7.565,7.745
been,7.785,7.945
And,8.005,8.105
you've,8.145,8.445
been,8.485,8.726
around,8.786,9.026
the,9.046,9.206
block,9.246,9.546
and,9.646,9.767
you've,9.807,9.967
come,10.007,10.247
to,10.267,10.367
what,10.387,10.607
I've,10.627,10.807
seen,10.828,11.008
You,11.048,11.188
ain't,11.268,11.388
gonna,11.428,11.748
get,11.788,11.949
a,12.029,12.089
shot,12.129,12.449
until,12.529,13.09
you've,13.11,13.53
seen,13.59,13.77
the,13.81,13.91
amount,13.93,14.211
of,14.231,14.271
docks,14.331,14.671
in,14.771,14.871
the,14.891,14.971
Arctic,15.191,15.452
I've,15.552,15.912
been,15.992,16.332
Who,16.913,17.193
can,17.313,17.634
assess,17.694,17.934
the,17.974,18.134
big,18.234,18.594
docks,18.735,19.135
and,19.215,19.335
the,19.375,19.495
ambient,19.655,20.236
gossip?,20.316,20.816
Can't,20.836,21.137
"understand,",21.357,23.058
man,23.078,23.138
Some,23.499,23.759
of,23.839,23.899
you,23.959,24.179
will,24.259,24.48
remind,24.52,24.98
cause,25.02,25.34
my,25.421,25.741
Bitcoins,25.801,26.501
are,26.622,26.722
stocked,26.742,27.182
in,27.262,27.442
Japan,27.462,27.923
Fuck,28.403,28.563
you,28.603,28.763
better,28.783,29.063
do,29.103,29.283
it,29.303,29.383
cause,29.443,29.903
I,29.963,30.043
don't,30.063,30.563
care,30.583,30.884
Just,30.964,31.244
give,31.344,31.504
me,31.544,31.644
my,31.704,31.984
"coins,",32.064,32.384
I'll,32.404,32.584
be,32.604,32.764
out,32.864,33.024
of,33.064,33.164
your,33.204,33.444
hair,33.544,33.904
Twenty,34.264,34.584
percent,34.624,35.144
was,35.204,35.404
all,35.585,35.765
that,35.845,36.025
was,36.085,36.325
there,36.425,36.745
The,37.025,37.165
rest,37.205,37.465
disappeared,37.505,38.245
into,38.305,38.725
thin,38.785,38.885
air,38.965,39.465
Man,39.745,40.065
"gox,",40.145,40.446
man,40.506,40.786
"gox,",40.866,41.206
the,41.246,41.366
gox,41.406,41.706
got,41.826,42.146
to,42.166,42.326
stop,42.346,42.706
Man,42.746,43.046
"gox,",43.106,43.406
man,43.486,43.746
"gox,",43.826,44.146
the,44.186,44.306
gox,44.366,44.646
got,44.766,45.046
to,45.086,45.227
stop,45.247,45.547
