word,start_time,end_time
He,29.358,29.458
started,29.478,29.959
getting,29.999,30.519
"late,",30.559,30.88
so,30.94,31.34
he,31.42,31.56
went,31.6,31.841
home,31.941,32.061
Nothing,32.121,32.461
changed,32.481,33.062
except,33.142,33.562
his,33.622,33.822
mood,33.862,34.043
So,34.123,34.163
he,34.203,34.243
killed,34.263,34.483
the,34.523,34.643
door,34.703,35.224
and,35.624,35.724
the,35.824,35.985
phone,36.065,36.385
It's,36.565,36.745
like,36.785,36.985
he's,37.006,37.086
never,37.146,37.426
heard,37.546,37.766
from,37.786,37.926
you,37.986,38.087
It's,38.107,38.227
time,38.287,38.607
to,38.627,38.747
lay,39.128,39.288
"back,",39.348,39.648
lay,39.908,40.068
"back,",40.109,40.349
and,40.469,40.709
start,40.729,40.949
a,41.029,41.15
new,41.23,41.71
show,42.211,42.551
Like,42.671,43.151
"that,",43.292,43.932
like,44.052,44.212
"that,",44.253,44.373
you,44.653,44.933
just,45.053,45.173
don't,45.254,45.454
know,45.534,45.954
Lay,46.034,46.295
"back,",46.595,46.755
lay,46.855,47.556
"back,",47.636,47.956
and,48.096,48.196
start,48.276,48.637
a,48.837,48.937
new,48.977,49.157
show,49.678,50.579
Like,50.619,50.779
"that,",51.039,51.52
like,52.14,52.32
"that,",52.38,52.941
like,53.041,54.082
that,54.142,54.242
