word,start_time,end_time
I,1.21,1.411
told,1.791,3.073
my,3.613,4.595
Lordy,5.135,5.496
to,5.556,6.097
take,6.137,6.537
a,7.258,7.318
look,7.358,7.959
inside,7.999,8.68
the,8.7,8.82
block,8.86,9.1
market,9.16,9.661
Upload,9.941,10.282
the,10.302,10.422
Bitcoin,10.482,10.882
to,10.902,11.023
go,11.043,11.263
car,11.323,11.623
"shopping,",11.663,12.124
gang,12.424,12.785
They,12.845,13.366
wanted,13.386,13.606
me,13.626,13.706
to,13.726,13.826
check,13.866,13.986
out,14.086,14.267
your,14.287,14.407
music,14.427,14.747
"page,",14.767,15.008
you,15.048,15.208
not,15.268,15.528
poppin',15.568,16.489
Now,16.529,16.67
Gaps,16.85,17.05
out,17.15,17.25
like,17.29,17.431
the,17.451,17.591
non-Hopkins,17.631,18.352
I,18.832,18.912
got,19.172,19.512
a,19.532,19.552
computer,19.612,19.972
geek,20.012,20.492
white,20.532,20.753
"boy,",20.813,20.933
he,20.953,21.053
go,21.093,21.213
to,21.233,21.313
John,21.373,21.873
Hopkins.,21.933,22.673
Want,22.713,22.913
Bitcoin,22.953,23.393
worth,23.433,23.833
"$8,000?",0.0,0.0
Let's,23.893,24.273
get,24.453,24.614
it.,24.774,24.894
Soft,25.034,25.514
and,25.734,25.894
bent,25.934,26.314
"off,",26.354,26.494
full,26.514,26.834
of,26.954,27.074
brown,27.114,27.294
support,27.314,27.714
product,27.734,28.014
and,28.094,28.154
flip,28.194,28.415
it.,28.675,28.775
He,29.015,29.135
just,29.175,29.275
needed,29.315,29.575
a,29.635,29.715
drop,29.735,29.975
addy,30.115,30.235
for,30.375,30.515
what,30.535,30.655
he,30.675,30.755
was,30.795,31.095
shipping.,31.115,31.855
It,31.975,32.175
wasn't,32.195,32.436
a,32.516,32.576
"scam,",32.596,32.856
he,32.916,32.996
read,33.036,33.176
the,33.196,33.356
forms,33.396,33.676
before,33.696,34.036
he,34.076,34.136
made,34.156,34.276
a,34.316,34.376
decision.,34.416,34.916
Until,35.056,35.316
he,35.376,35.456
ran,35.556,35.936
into,35.996,36.176
his,36.196,36.357
man,36.417,36.577
Skrilla.,36.657,36.957
Told,38.477,38.637
him,38.657,38.737
we,38.757,38.857
can,38.877,38.977
do,38.997,39.077
this,39.097,39.238
shit,39.298,39.478
"legally,",39.498,39.878
no,39.918,40.038
need,40.058,40.278
for,40.358,40.578
"personal,",40.618,40.958
nah,40.978,41.299
Just,41.439,41.599
keep,41.639,41.779
your,41.799,41.919
"word,",41.939,42.199
I,42.239,42.299
heard,42.339,42.639
here's,42.659,42.819
somebody,42.86,43.26
that'll,43.28,43.82
kill,43.84,44.02
you,44.08,44.24
I'm,44.34,44.62
on,44.68,44.741
a,44.781,44.821
"Coinbase,",44.841,45.381
lookin',45.441,45.621
kinda,45.641,45.961
familiar,45.981,46.401
like,46.421,46.541
I,46.602,46.682
did,46.722,46.882
before,46.902,47.562
I,47.642,47.722
see,47.822,48.002
the,48.022,48.122
transaction,48.142,48.703
on,48.783,48.863
the,48.883,49.023
"blockchain,",49.063,49.523
you,49.543,49.643
gotta,49.663,49.883
spend,49.903,50.123
with,50.143,50.324
your,50.384,50.744
boy,50.784,50.924
Shoot,51.044,51.224
me,51.264,51.344
the,51.364,51.444
address,51.504,51.704
to,51.724,51.984
the,52.024,52.124
"wallet,",52.165,52.565
and,52.665,52.805
I'ma,52.865,53.045
send,53.065,53.185
it,53.225,53.285
tomorrow,53.325,53.965
Just,53.986,54.226
make,54.266,54.386
me,54.406,54.546
"walk,",54.606,54.826
run,54.866,54.966
up,55.026,55.106
in,55.146,55.206
all,55.306,55.466
black,55.486,55.686
on,55.746,55.786
the,55.806,55.907
horse,55.927,56.127
like,56.187,56.427
Zorro,56.467,56.727
It'll,56.787,56.947
be,56.987,57.307
fast,57.327,57.427
to,57.447,57.547
control,57.567,57.808
the,57.848,57.968
"temperature,",58.008,58.508
Paco,58.528,58.908
Put,58.948,59.148
a,59.168,59.188
n***a,59.208,59.408
out,59.488,59.569
It,60.529,60.689
won't,60.889,61.109
be,61.229,61.409
nobody,61.449,61.83
there,61.87,61.99
to,62.01,62.49
help,62.53,63.23
you,63.29,63.43
Coinbase,63.47,63.97
layout's,64.03,64.391
super,64.411,64.631
"easy,",64.751,65.031
it's,65.091,65.191
no,65.251,65.411
way,65.451,65.631
I,65.651,65.671
can,65.691,65.811
sell,65.891,66.131
you,66.151,66.351
Use,66.431,67.192
the,67.232,67.332
VPN,67.352,67.512
so,67.552,67.652
the,67.672,67.752
boys,67.792,68.072
have,68.132,68.292
no,68.352,68.452
way,68.472,68.612
to,68.632,68.752
trail,68.812,69.072
you,69.092,69.332
The,69.532,69.833
move,69.853,69.993
at,70.073,70.173
fast,70.213,70.453
"pace,",70.553,70.773
I,70.793,70.913
had,70.933,71.013
to,71.033,71.093
control,71.133,71.493
the,71.513,71.613
hash,71.653,71.913
rate,72.013,72.374
The,72.854,72.934
value,72.994,73.294
of,73.354,73.414
the,73.454,73.534
Bitcoin,73.574,73.974
"decreased,",74.074,74.434
it,74.494,74.554
was,74.594,74.694
a,74.755,74.775
bad,74.855,75.135
day,75.175,75.975
My,76.015,76.095
sergeant,76.135,76.575
is,76.715,76.795
"ice,",76.835,76.915
you,76.955,77.175
bitches,77.235,77.536
spat,77.556,77.776
out,77.836,77.936
the,77.956,78.076
ashtray,78.176,79.276
Skate,79.296,79.556
on,79.616,79.716
bitches,79.756,79.997
like,80.077,80.297
cascades,80.337,81.117
I'm,81.237,81.517
"out,",81.657,81.837
my,81.897,82.178
lord,82.498,82.638
he,82.658,82.758
got,82.778,82.898
a,82.958,83.038
Bitcoin,83.078,83.819
ATM,83.879,83.999
in,84.039,84.099
his,84.139,84.239
living,84.279,84.519
room,84.559,85.2
Holding,85.22,85.66
the,85.68,85.74
cash,85.78,86.08
I,86.12,86.16
had,86.18,86.3
in,86.361,86.401
my,86.421,86.561
pocket,86.621,86.921
I,86.961,87.021
wanted,87.061,87.261
to,87.281,87.381
give,87.401,87.561
it,87.601,87.701
to,87.721,88.082
him,88.682,88.782
With,88.822,88.902
the,88.922,89.102
vision,89.122,89.363
of,89.423,89.503
our,89.623,89.743
currency,89.783,90.223
living,90.263,90.523
room,90.623,91.224
I,91.424,91.504
told,91.544,91.664
my,91.684,91.824
bro,91.864,92.024
it's,92.124,92.225
a,92.245,92.265
way,92.305,92.445
that,92.465,92.565
we,92.585,92.685
can,92.705,92.785
make,92.805,93.005
money,93.045,93.225
even,93.305,93.485
though,93.505,93.625
it's,93.665,93.806
different,93.826,94.126
for,94.166,94.606
him,94.646,94.746
He,94.806,94.986
got,95.006,95.126
a,95.167,95.247
new,95.267,95.447
job,95.487,95.727
"contract,",95.767,96.267
want,96.287,96.427
me,96.447,96.547
to,96.567,96.668
rent,96.688,96.868
him,96.888,97.008
for,97.048,97.388
him,97.408,97.528
He,97.608,97.728
told,97.768,97.928
me,97.948,98.069
any,98.109,98.249
ideas,98.309,98.769
I,98.849,98.869
had,98.889,99.049
in,99.089,99.149
my,99.169,99.289
mind,99.329,99.509
go,99.53,99.63
ahead,99.69,100.07
and,100.13,100.21
pitch,100.25,100.57
it,100.63,100.71
to,100.75,100.87
him,100.91,101.031
My,101.111,101.311
dudes,101.331,101.611
bust,101.631,101.851
in,101.871,101.911
the,101.931,102.051
room,102.091,102.291
like,102.331,102.472
what,102.492,102.592
are,102.612,102.792
you,102.852,102.932
niggas,102.972,103.192
doing?,103.332,103.692
I,105.073,105.174
told,105.294,105.794
my,105.854,106.035
lordy,106.075,106.856
to,107.356,107.516
take,107.536,107.957
a,108.037,108.137
look,108.237,108.577
inside,108.658,109.018
the,109.038,109.178
block,109.218,109.438
market,109.499,109.939
Upload,109.959,110.239
the,110.279,110.38
"bitcoin,",110.42,110.8
we,110.82,110.94
goin',110.98,111.341
card,111.381,111.581
shopping,111.641,112.222
You,112.262,112.402
wanted,112.502,112.762
me,112.782,112.982
to,113.002,113.123
