word,start_time,end_time
"Hey,",5.694,5.894
brother.,5.954,6.154
"Hey,",6.174,6.234
brother.,7.755,7.895
"Hey,",8.055,8.135
brother.,8.235,8.375
"Hey,",8.435,8.535
brother.,8.555,8.735
"Hey,",8.755,8.815
brother.,8.835,8.995
"Hey,",9.015,9.155
brother.,10.015,10.175
"Hey,",10.435,13.936
brother.,16.477,16.757
"Hey,",16.857,16.957
brother.,21.158,21.298
"Hey,",21.318,21.378
brother.,21.398,21.538
"Hey,",21.558,21.658
brother.,21.678,21.858
"Hey,",21.998,22.058
brother.,22.078,22.238
"Hey,",22.258,22.339
brother.,22.359,22.499
"Hey,",22.519,22.579
brother.,22.599,22.739
"Hey,",22.759,22.819
brother.,22.839,23.039
"Hey,",23.059,23.119
brother.,23.139,23.299
"Hey,",23.319,23.379
brother.,23.399,23.559
"Hey,",23.579,23.639
brother.,23.659,23.799
"Hey,",23.819,23.939
brother.,23.959,24.119
"Hey,",24.139,24.199
brother.,24.219,24.359
"Hey,",24.379,24.459
brother.,24.479,24.639
"Hey,",24.659,24.719
brother.,24.739,24.919
"Hey,",24.939,24.999
brother.,25.019,25.159
"Hey,",25.179,25.239
brother.,25.259,25.419
"Hey,",25.439,25.499
brother.,25.519,25.659
"Hey,",25.679,25.779
brother.,25.799,25.939
"Hey,",25.96,26.02
brother.,26.04,26.18
"Hey,",26.2,26.26
brother.,26.28,26.44
"Hey,",26.46,26.52
brother.,26.54,26.7
"Hey,",26.72,26.78
brother.,26.82,26.96
"Hey,",26.98,27.04
brother.,27.06,27.22
"Hey,",27.24,27.32
brother.,27.34,27.48
"Hey,",27.5,27.58
brother.,27.6,27.74
"Hey,",27.76,27.82
brother.,27.84,27.98
"Hey,",28.0,28.06
brother.,28.08,28.22
"Hey,",28.26,28.36
brother.,28.38,28.56
"Hey,",28.58,28.64
brother.,28.66,28.82
"Hey,",28.84,28.9
brother.,28.92,29.06
"Hey,",29.08,29.18
brother.,29.2,29.34
"Hey,",29.38,29.48
brother.,29.54,29.701
"Hey,",29.721,29.781
brother.,29.801,30.001
"Hey,",30.021,30.081
brother.,30.101,30.241
"Hey,",30.261,30.321
brother.,30.341,30.481
"Hey,",30.521,30.581
brother.,30.601,30.741
"Hey,",30.761,30.821
brother.,30.861,31.001
"Hey,",31.021,31.081
brother.,31.101,31.241
"Hey,",31.301,31.361
brother.,31.381,31.521
"Hey,",31.541,31.601
brother.,31.621,31.761
"Hey,",31.781,31.841
brother.,31.861,32.001
"Hey,",32.021,32.081
brother.,32.101,32.241
"Hey,",32.261,32.321
brother.,32.341,32.481
"Hey,",32.501,32.561
brother.,33.702,33.842
"Hey,",33.862,33.922
brother.,33.942,34.102
"Hey,",34.122,34.182
brother.,34.202,34.402
"Hey,",34.422,34.502
brother.,34.522,34.662
"Hey,",34.682,34.742
brother.,34.762,34.902
"Hey,",34.922,35.002
brother.,35.022,35.162
Hey!,44.309,44.53
Hey!,44.63,44.69
