word,start_time,end_time
A,1.952,1.992
forgotten,2.052,2.552
tome,2.632,3.072
of,3.152,3.212
unimaginable,3.272,4.073
power,4.153,4.533
is,4.613,4.673
said,4.733,4.973
to,5.033,5.153
harbor,5.233,5.633
a,5.693,5.713
corrupted,5.793,6.313
universe.,6.473,6.953
The,9.414,9.534
"Eight,",9.614,9.834
the,10.274,10.394
unending,10.494,10.975
"wealth,",11.075,11.435
is,11.735,11.795
sealed,11.935,12.395
within,12.455,12.715
the,12.735,12.815
pages,12.875,13.315
of,13.415,13.495
this,13.535,13.715
tome.,13.815,14.215
The,16.236,16.356
only,16.496,16.696
way,16.756,16.996
to,17.056,17.176
harvest,17.256,17.756
its,17.816,17.936
power,18.036,18.457
is,18.917,18.997
from,19.077,19.257
within.,19.317,19.637
Those,23.143,23.623
who,23.763,23.923
dare,24.023,24.463
to,24.583,24.683
embark,24.783,25.284
on,25.384,25.464
this,25.504,25.704
ominous,25.944,26.344
journey,26.444,26.884
are,27.404,27.504
said,27.564,27.764
to,27.804,27.904
have,27.944,28.144
their,28.204,28.404
souls,28.524,29.025
forever,29.205,29.645
corrupted,29.725,30.265
in,30.625,30.725
an,30.765,30.825
unending,31.065,31.705
state,31.845,32.145
of,32.185,32.245
hunger,32.345,32.725
for,33.026,33.186
wealth.,33.246,33.546
The,34.166,34.266
reckless,34.346,34.746
ones,34.906,35.146
who,35.666,35.826
opened,35.986,36.346
the,36.366,36.586
tome,36.626,37.047
are,37.727,37.827
now,37.907,38.187
known,38.287,38.667
as,38.767,38.867
the,38.927,39.027
Apostles,39.107,39.787
of,39.887,39.967
"Greed,",40.087,40.547
trapped,41.388,41.808
among,42.168,42.448
the,42.488,42.588
pages,42.668,43.148
of,43.548,43.608
this,43.648,43.828
unholy,43.968,44.569
manuscript.,44.669,45.429
A,47.889,47.949
dark,48.009,48.369
"future,",48.49,48.97
indeed.,49.53,50.07
