word,start_time,end_time
Are,0.269,0.369
you,0.429,0.629
aware,0.749,1.27
of,1.35,1.43
the,1.53,1.65
first,1.71,2.01
real-world,2.15,2.791
transaction,2.871,3.551
using,3.691,3.951
Bitcoin?,4.011,4.472
It,4.912,4.992
was,5.032,5.172
a,5.232,5.252
meal,5.312,5.632
fit,5.712,5.912
for,6.013,6.173
a,6.233,6.273
king!,6.433,6.793
Two,7.253,7.533
whole,7.653,7.934
pizzas!,8.034,8.614
And,9.034,9.154
the,9.214,9.334
price,9.394,9.735
tag?,9.775,10.175
A,10.695,10.755
whopping,10.935,11.356
"10,000",0.0,0.0
Bitcoins!,11.396,11.656
