word,start_time,end_time
again,0.0,3.602
we,3.602,4.038
cannot,4.038,4.474
and,4.475,4.911
should,4.911,5.347
not,5.347,5.783
slacken,5.784,6.22
in,6.22,6.656
our,6.656,7.092
Airport,7.093,7.529
and,7.529,8.056
especially,8.056,8.583
their,8.582,9.109
governments,9.109,9.636
are,9.636,10.163
there,10.162,10.689
of,10.689,11.216
the,11.216,11.743
unspeakable,11.743,12.27
Diss,12.269,12.796
Anglesey,12.796,13.37
change,13.37,13.944
the,13.943,14.517
attitude,14.517,15.091
towards,15.091,15.665
each,15.665,16.239
other,16.238,16.812
we,16.812,17.405
help,17.405,17.998
in,17.999,18.592
creating,18.592,19.185
this,19.186,19.779
new,19.779,20.372
in,20.373,20.827
order,20.827,21.281
to,21.281,21.735
prevent,21.736,22.19
the,22.19,22.644
enemies,22.644,23.098
of,23.098,23.552
mankind,23.553,24.007
from,24.007,24.595
achieving,24.595,25.183
heat,25.183,25.771
ahead,25.771,26.359
of,26.359,26.947
Woodhead,26.947,27.852
means,27.852,28.758
inconceivable,28.758,29.663
destruction,29.663,30.569
accidentally,30.569,32.535
