word,start_time,end_time
In,0.433,0.633
the,0.673,0.873
space,0.993,1.934
I'm,1.994,2.094
like,2.154,2.434
Billionaire,2.514,3.254
"Boy,",3.314,3.614
I,3.634,3.654
love,3.694,4.035
the,4.055,4.255
"ice,",4.895,4.975
I,5.035,5.115
love,5.175,5.455
the,5.535,5.735
"ice,",5.955,6.055
Sorrow,48.8,49.02
"love,",49.08,49.22
how,49.82,49.96
much,49.98,50.121
"that,",50.161,50.421
will,51.121,51.601
you,51.661,51.801
lend,51.841,51.921
it,51.981,52.041
to?,52.061,52.301
Dismiss,52.782,53.102
"repaid,",53.202,54.062
her,54.142,54.262
phone,54.322,54.622
too,54.662,55.342
My,55.663,55.803
phone,55.843,56.103
"bang,",56.163,56.443
and,56.943,57.183
my,57.223,57.283
phone,57.323,57.623
"blue,",57.683,58.304
my,58.604,58.764
bitch,58.804,58.964
is,58.984,59.024
bad,59.164,59.444
pain,59.524,60.084
Sorrow,60.284,60.665
"love,",60.685,61.225
how,61.805,61.945
much,61.965,62.105
"that,",62.165,62.445
will,63.125,63.606
you,63.666,63.886
lend,64.026,64.246
it,64.426,64.526
to?,64.566,64.706
Dismiss,64.786,65.126
"repaid,",65.186,66.067
her,66.127,66.267
phone,66.307,66.647
too,66.687,66.767
