word,start_time,end_time
媽,0.0,0.0
媽,0.0,0.0
這,0.0,0.0
是,2.318,2.438
你,2.438,2.618
做,2.618,3.139
過,0.0,0.0
最,3.139,3.359
好,3.359,3.599
吃,3.599,3.779
的,3.779,3.899
年,3.899,4.099
夜,4.099,5.3
飯,0.0,0.0
謝,0.0,0.0
謝,0.0,0.0
你,5.3,5.4
我,5.4,5.54
知,5.54,5.66
道,5.66,6.86
想,6.86,7.1
到,7.1,7.261
明,7.261,7.461
天,7.461,7.641
我,7.641,7.821
真,7.821,8.021
的,8.021,8.121
很,8.121,9.061
興,0.0,0.0
奮,0.0,0.0
因,9.061,9.442
為,0.0,0.0
虎,9.442,9.562
年,9.562,9.922
來,0.0,0.0
了,9.922,12.083
我,12.083,12.463
們,0.0,0.0
在,12.463,12.803
玩,12.803,13.023
一,13.023,13.503
個,0.0,0.0
好,13.503,13.743
玩,13.743,14.044
的,14.044,14.384
新,14.384,14.664
年,14.664,15.464
遊,0.0,0.0
戲,0.0,0.0
你,15.464,15.624
只,15.624,15.764
能,15.764,17.705
說,0.0,0.0
國,0.0,0.0
語,0.0,0.0
如,17.705,17.845
果,17.845,17.985
你,17.985,18.325
說,0.0,0.0
英,18.325,18.546
文,18.546,18.946
你,18.946,19.046
就,19.046,19.306
出,19.306,19.526
局,19.526,20.266
是,20.266,20.506
真,20.506,20.727
的,20.727,21.207
那,21.207,21.387
是,21.387,21.507
我,21.507,21.667
的,21.667,21.807
主,21.807,22.007
意,22.007,22.627
我,22.627,22.807
想,22.807,23.008
在,23.008,23.228
吃,23.228,23.408
年,23.408,23.568
夜,23.568,23.968
飯,0.0,0.0
的,23.968,24.288
時,0.0,0.0
候,24.288,24.728
不,24.728,24.848
要,24.848,25.109
只,25.109,25.209
有,25.209,25.349
我,25.349,25.509
一,25.509,25.829
個,0.0,0.0
人,25.829,26.849
說,0.0,0.0
國,0.0,0.0
語,0.0,0.0
是,26.849,27.029
真,27.029,27.229
的,27.229,27.81
你,27.81,28.03
只,28.03,28.15
知,28.15,28.43
道,28.43,28.69
說,0.0,0.0
那,28.69,28.85
一,28.85,28.97
句,28.97,30.091
國,0.0,0.0
語,0.0,0.0
嗎,0.0,0.0
是,30.091,30.251
真,30.251,30.451
的,30.451,30.471
听,31.86,32.06
起,32.06,32.18
来,32.18,32.48
真,32.48,32.701
好,32.701,32.921
玩,32.921,35.202
H,35.202,35.362
e,35.362,37.384
l,37.384,37.484
l,37.484,37.604
o,37.604,37.924
你,37.924,38.164
输,38.164,38.464
了,38.464,38.745
W,38.745,38.825
a,38.825,39.845
i,39.845,40.005
t,40.005,40.106
",",0.0,0.0
w,40.106,40.166
h,40.166,40.306
o,40.306,40.426
',0.0,0.0
s,40.426,40.606
o,40.606,41.266
n,41.266,41.707
t,41.707,41.947
h,41.947,42.067
e,42.067,42.247
p,42.247,42.367
h,42.367,42.647
o,42.647,42.887
n,42.887,43.088
e,43.088,43.188
?,0.0,0.0
现,43.188,43.388
在,43.388,43.608
剩,43.608,43.868
下,43.868,44.188
三,44.188,44.508
个,44.508,44.709
S,44.709,44.909
c,44.909,44.929
r,44.929,45.169
e,45.169,45.189
w,45.189,45.209
i,45.209,45.429
t,45.429,45.449
",",0.0,0.0
I,45.449,45.469
',0.0,0.0
m,45.469,45.489
o,45.489,46.15
u,46.15,47.11
t,47.11,49.612
I,49.612,49.692
',0.0,0.0
v,49.692,49.712
e,49.712,49.732
b,49.732,49.752
e,49.752,49.772
e,49.772,49.832
n,49.832,49.852
w,49.852,49.872
a,49.872,49.892
n,49.892,49.912
t,49.912,50.012
i,50.012,50.052
n,50.052,50.072
g,50.072,50.112
s,50.112,50.252
o,50.252,50.272
m,50.272,50.292
e,50.292,50.312
o,50.312,50.332
n,50.332,50.352
e,50.352,50.392
t,50.392,50.412
o,50.412,51.113
p,51.113,51.153
a,51.153,51.193
s,51.193,51.213
s,51.213,51.253
m,51.253,51.333
e,51.333,51.353
t,51.353,51.373
h,51.373,51.413
o,51.413,51.613
s,51.613,51.713
e,51.713,51.813
d,51.813,51.873
u,51.873,51.893
m,51.893,51.933
p,51.933,52.074
l,52.074,52.114
i,52.114,52.174
n,52.174,52.214
g,52.214,52.294
s,52.294,52.354
f,52.354,52.434
o,52.434,52.514
r,52.514,52.714
h,52.714,52.774
a,52.774,52.794
l,52.794,52.834
f,52.834,53.034
a,53.034,53.094
n,53.094,53.114
h,53.114,53.134
o,53.134,53.254
u,53.254,53.274
r,53.274,53.314
B,53.314,53.394
u,53.394,53.414
t,53.414,53.434
I,53.434,53.454
d,53.454,53.474
o,53.474,53.635
n,53.635,53.695
',0.0,0.0
t,53.695,53.735
k,53.735,53.815
n,53.815,53.835
o,53.835,53.915
w,53.915,53.975
h,53.975,54.015
o,54.015,54.055
w,54.055,54.095
t,54.095,54.155
o,54.155,54.175
s,54.175,54.235
a,54.235,54.335
y,54.335,54.375
g,54.375,54.395
i,54.395,54.515
v,54.515,54.575
e,54.575,54.595
m,54.595,54.615
e,54.615,54.675
t,54.675,54.695
h,54.695,54.795
e,54.795,54.855
m,54.855,54.875
d,54.875,54.915
u,54.915,55.015
m,55.015,55.035
p,55.035,55.056
s,55.056,55.116
i,55.116,55.196
n,55.196,55.216
M,55.216,55.236
a,55.236,55.376
n,55.376,55.416
d,55.416,55.516
a,55.516,55.616
r,55.616,55.636
i,55.636,55.656
n,55.656,56.376
妈,56.376,56.577
妈,56.577,56.877
",",0.0,0.0
我,56.877,56.977
们,56.977,57.097
赢,57.097,57.357
了,57.357,57.377
早,63.362,63.562
安,63.562,64.382
",",0.0,0.0
媽,0.0,0.0
媽,0.0,0.0
",",0.0,0.0
新,64.382,64.522
年,64.522,64.723
快,64.723,66.643
樂,0.0,0.0
!,0.0,0.0
我,66.643,66.843
看,66.843,67.063
你,67.063,67.604
還,0.0,0.0
在,67.604,67.824
玩,67.824,68.024
那,68.024,68.924
個,0.0,0.0
遊,0.0,0.0
戲,0.0,0.0
啊,68.924,69.384
。,0.0,0.0
昨,69.384,69.564
天,69.564,69.744
晚,69.744,69.985
上,69.985,70.205
我,70.205,70.505
們,0.0,0.0
平,70.505,70.805
手,70.805,71.625
",",0.0,0.0
上,71.625,71.885
次,71.885,72.265
只,72.265,72.385
能,72.385,72.525
有,72.525,72.786
一,72.786,73.066
個,0.0,0.0
人,73.066,74.486
贏,0.0,0.0
。,0.0,0.0
對,0.0,0.0
啊,74.486,75.246
",",0.0,0.0
只,75.246,75.387
能,75.387,75.547
有,75.547,75.847
一,75.847,76.207
個,0.0,0.0
人,76.207,76.227
贏,0.0,0.0
。,0.0,0.0
