word,start_time,end_time
So,0.329,0.57
even,0.73,0.95
though,1.05,1.47
we,2.111,2.291
face,2.371,2.692
the,2.732,2.812
difficulties,2.872,3.813
of,4.714,4.834
today,4.874,5.174
and,5.234,5.354
"tomorrow,",5.394,5.875
I,7.556,7.636
still,7.777,8.177
have,8.257,8.477
a,8.517,8.537
dream.,8.597,8.978
It,11.22,11.3
is,11.36,11.46
a,11.5,11.54
dream,11.58,11.941
deeply,12.021,12.461
rooted,12.521,12.841
in,13.102,13.202
the,13.262,13.362
American,13.462,14.023
dream.,14.083,14.443
I,16.145,16.225
have,16.265,16.465
a,16.505,16.525
dream,16.585,16.985
that,17.005,18.647
one,18.787,18.927
day,18.967,19.228
this,19.248,21.41
nation,21.51,22.03
will,22.15,22.491
rise,22.631,23.111
up,23.272,23.312
live,25.072,25.312
out,25.412,25.572
the,25.632,25.752
true,25.792,26.012
meaning,26.052,26.433
of,26.473,26.533
its,26.593,26.713
creed.,26.813,27.233
We,28.553,28.754
hold,28.834,29.094
these,29.174,29.474
truths,29.554,29.934
to,29.994,30.094
be,30.114,30.274
self-evident,30.394,31.295
that,31.975,32.155
all,32.455,32.675
men,32.755,33.035
are,33.095,33.175
created,33.255,33.716
equal.,33.796,34.096
I,43.659,43.74
have,43.78,43.96
a,44.0,44.02
dream,44.08,44.44
that,46.536,46.696
one,46.816,46.936
day,46.976,47.216
on,47.416,47.536
the,47.596,47.697
red,47.757,48.017
hills,48.077,48.517
of,48.597,48.657
"Georgia,",48.717,49.117
the,50.858,50.978
sons,51.078,51.538
of,51.638,51.718
former,51.778,52.219
slaves,52.279,52.759
and,52.839,52.939
the,52.979,53.079
sons,53.179,53.619
of,53.719,53.799
former,53.879,54.279
slave,54.319,54.68
owners,54.78,55.02
will,56.12,56.56
be,56.62,56.76
able,56.961,57.321
to,57.441,57.581
sit,57.661,57.841
down,57.881,58.261
together,58.381,58.841
at,58.881,58.961
the,59.001,59.082
table,59.142,59.482
of,59.522,59.582
brotherhood.,59.642,60.282
I,60.762,60.842
have,60.882,61.082
a,61.122,61.142
dream,61.202,61.523
that,62.823,62.983
one,63.103,63.243
day,63.283,63.543
even,65.804,66.185
the,66.225,66.345
state,66.405,66.685
of,66.725,66.805
"Mississippi,",66.825,67.625
a,67.665,67.765
state,67.845,68.185
sweltering,68.706,69.666
with,69.826,70.006
the,70.186,70.306
injustice,72.253,73.093
sweltering,74.773,75.574
with,75.654,75.814
the,75.854,75.954
heat,76.014,76.214
of,76.234,76.294
oppression,76.394,76.894
will,77.874,78.054
be,78.074,78.254
transformed,78.334,79.254
into,79.354,79.634
an,79.714,79.814
oasis,79.854,80.535
of,80.695,80.755
freedom,81.115,81.475
and,81.535,81.615
justice.,81.675,82.115
I,82.315,82.375
have,82.435,82.635
a,82.695,82.715
dream,82.775,83.155
that,83.175,84.015
my,86.736,87.236
four,87.416,87.696
little,87.736,87.996
children,88.096,88.616
will,88.636,88.716
one,90.636,90.756
day,90.796,90.996
live,91.036,91.237
in,91.277,91.337
a,91.397,91.437
nation,91.477,91.997
where,92.097,92.317
they,92.337,92.517
will,92.557,92.717
not,92.757,92.977
be,92.997,93.137
judged,93.197,93.557
by,93.617,93.817
the,93.857,93.957
color,94.057,94.357
of,94.397,94.457
their,94.497,94.697
"skin,",94.797,95.217
but,95.237,95.377
by,95.437,95.597
the,95.637,95.717
content,95.817,96.297
of,96.317,96.377
their,96.437,96.598
character.,96.658,97.198
I,97.678,97.758
have,97.798,97.978
a,98.018,98.038
dream,98.078,98.578
today.,98.638,98.918
