word,start_time,end_time
Did,0.109,0.29
you,0.33,0.43
know,0.47,0.61
that,0.671,0.791
Satoshi,0.831,1.272
Nakamoto,1.292,1.893
is,1.974,2.054
estimated,2.134,2.575
to,2.615,2.695
own,2.816,2.956
around,2.996,3.237
one,3.437,3.557
million,3.637,3.958
bitcoins?,4.038,4.62
That's,5.141,5.361
a,5.381,5.422
fortune.,5.502,5.943
I,6.404,6.444
was,6.484,6.564
looking,6.604,6.825
for,6.865,6.945
the,6.965,7.045
keys,7.106,7.426
but,7.466,7.567
could,7.607,7.747
not,7.767,7.887
find,7.988,8.268
them.,8.328,8.429
