word,start_time,end_time
The,1.271,1.872
first,1.992,2.292
words,2.372,2.733
I,2.853,2.953
spoke,2.993,3.333
in,3.374,3.474
the,3.514,3.794
original,4.535,5.036
"pornograph,",5.136,5.716
a,6.698,6.838
little,6.858,7.098
piece,7.178,7.499
of,7.559,7.659
practical,7.779,8.34
poetry.,8.48,8.98
Mary,9.661,10.002
had,10.042,10.222
a,10.262,10.322
little,10.362,10.582
"lamb,",10.642,10.943
its,11.023,11.163
fleet,11.263,11.503
was,11.543,11.644
quite,11.744,12.044
"slow,",12.244,12.565
and,12.825,12.905
everywhere,12.985,13.466
that,13.486,13.666
Mary,13.746,14.026
"went,",14.086,14.327
the,14.367,14.487
lamb,14.527,14.807
was,14.827,15.008
sure,15.088,15.348
to,15.368,15.448
go.,15.488,15.648
