word,start_time,end_time
We,2.037,2.157
begin,2.197,2.397
with,2.417,2.537
breaking,2.598,2.938
news,2.978,3.218
tonight.,3.238,3.558
A,3.618,3.698
mysterious,3.718,4.399
online,4.599,5.04
marketplace,5.08,5.64
is,5.72,5.8
shut,5.84,6.04
down,6.06,6.321
by,6.341,6.461
the,6.481,6.601
FBI,6.761,7.301
months,7.702,7.962
after,8.042,8.222
our,8.302,8.382
call,8.422,8.602
six,8.622,8.803
investigators,8.843,9.463
exposed,9.523,9.964
how,10.024,10.244
easy,10.364,10.564
it,10.584,10.644
was,10.684,10.884
to,10.904,10.944
buy,11.004,11.164
drugs,11.225,11.565
on,11.645,11.705
that,11.725,11.885
site.,11.925,12.145
It,12.265,12.345
is,12.526,12.646
called,12.706,13.186
the,13.206,13.346
Silk,13.366,13.606
Road,13.647,14.047
website,14.087,14.607
and,14.667,14.727
online,14.827,15.148
marketplace,15.208,15.848
for,15.908,16.068
drugs,16.109,16.489
and,17.069,17.169
illegal,17.289,17.61
services.,17.63,18.09
According,18.29,18.591
to,18.631,18.691
this,18.751,18.851
sealed,18.911,19.151
complaint,19.171,19.551
filed,19.591,19.812
by,19.832,19.952
the,19.972,20.072
"FBI,",20.132,20.532
the,20.572,20.672
Silk,20.692,20.892
Road,20.972,21.153
had,21.193,21.353
nearly,21.393,21.693
a,21.733,21.793
million,21.833,22.153
members,22.213,22.534
and,22.614,22.714
in,22.754,22.794
two,22.834,22.954
and,22.994,23.054
a,23.074,23.094
half,23.134,23.334
years,23.374,23.595
generated,23.895,24.335
approximately,24.375,25.016
1.2,0.0,0.0
billion,25.136,25.576
dollars,25.616,25.856
in,26.157,26.277
drug,26.337,26.497
sales.,26.517,26.657
Today,29.938,30.259
we're,30.279,30.66
going,30.7,31.842
to,33.084,33.344
talk,33.484,33.685
about,33.705,33.845
the,33.885,33.985
Silk,34.025,34.286
"Road,",34.326,34.546
so,34.626,34.847
called,34.867,35.207
because,35.247,35.688
it,35.808,35.949
was,35.989,36.109
not,36.169,36.45
a,37.011,37.091
road.,37.111,37.511
It,37.531,37.712
was,38.233,38.453
not,38.533,38.894
made,39.335,39.495
of,39.595,39.655
silk.,39.675,39.936
It's,89.821,90.402
just,90.442,90.663
a,90.823,91.023
basic,91.063,91.424
art,91.544,91.685
form,91.725,92.085
not,92.366,92.646
everyone,92.706,93.187
can,93.247,93.388
do.,93.408,93.468
Through,93.808,93.989
"practice,",94.049,94.369
I,94.389,94.47
would,94.59,94.85
say,94.89,94.99
I,95.011,95.071
became,95.091,95.371
a,95.431,95.471
Michael,95.511,95.792
Jordan,95.812,96.213
of,96.233,96.273
practice.,96.313,96.673
"900,000",0.0,0.0
registered,149.751,151.012
users,151.132,151.493
able,151.853,152.053
to,152.073,152.173
use,152.293,152.433
an,152.493,152.554
anonymous,152.594,153.174
Bitcoin,153.294,154.015
currency,154.115,154.615
to,154.655,154.735
buy,154.775,154.975
drugs.,155.015,155.416
Silk,155.436,156.497
Road,156.577,156.777
sells,156.817,157.057
everything,157.137,157.517
from,157.577,157.738
black,157.798,158.098
heart,158.118,158.258
heroin,158.298,158.598
to,158.638,158.738
crack,158.778,159.039
"cocaine,",159.059,159.479
"cocaine,",159.599,160.059
"cocaine,",160.14,160.58
"cocaine,",160.66,161.12
"cocaine,",161.18,161.661
"cocaine,",161.721,162.201
"cocaine,",162.261,162.742
"cocaine,",162.822,163.322
"cocaine,",163.422,163.943
"cocaine,",164.083,164.623
cocaine.,164.803,165.264
