word,start_time,end_time
We,5.732,5.772
all,5.812,5.892
getting,5.912,6.072
played,6.112,6.333
as,6.353,6.413
a,6.473,6.493
"stage,",6.513,6.973
pre-written,7.313,7.714
and,7.754,7.834
given,7.874,8.114
like,8.134,8.274
bait,8.334,8.674
Energy,9.195,9.535
perched,9.575,9.775
at,9.795,9.855
the,9.875,9.955
"stage,",9.976,10.516
watch,10.856,10.996
y'all,11.016,11.156
get,11.176,11.277
burned,11.317,11.457
with,11.477,11.577
the,11.597,11.657
flame,11.677,12.177
I'm,12.197,12.578
coaching,12.618,12.898
all,12.958,13.078
up,13.098,13.198
with,13.218,13.298
the,13.318,13.398
"craze,",13.438,13.899
listening,14.319,14.719
out,14.779,14.879
for,14.899,14.979
the,14.999,15.1
train,15.14,15.6
Pull,15.98,16.16
the,16.18,16.261
pin,16.281,16.441
out,16.481,16.581
the,16.601,16.681
"grenade,",16.701,17.341
trickling,17.702,18.102
blood,18.122,18.262
from,18.302,18.422
my,18.442,18.542
vein,18.582,19.063
"Jump,",19.463,19.763
hold,20.124,20.284
tight,20.304,20.484
to,20.524,20.604
the,20.624,20.704
"reins,",20.764,21.104
thunder,21.164,21.465
and,21.525,21.585
lightning,21.605,21.965
brain,22.005,22.425
"Jump,",22.886,23.166
ain't,23.586,23.706
here,23.746,23.927
to,23.947,24.047
enlighten,24.107,24.527
"days,",24.567,24.947
media,25.027,25.428
munch,25.448,25.608
your,25.648,25.808
brain,25.848,26.308
Some,26.669,26.829
of,26.869,26.929
them,26.949,27.109
might,27.169,27.329
"complain,",27.369,27.95
some,27.99,28.13
of,28.17,28.23
them,28.25,28.39
feel,28.41,28.63
the,28.67,28.81
same,28.871,29.311
Some,30.071,30.232
of,30.272,30.332
them,30.372,30.552
don't,30.592,30.772
feel,30.792,30.892
too,30.912,30.972
"great,",30.992,31.373
some,31.413,31.533
of,31.573,31.633
them,31.673,31.773
take,31.793,31.873
long,31.893,32.073
to,32.093,32.253
change,32.293,32.774
Now,33.812,33.892
I'm,33.912,33.972
back,34.012,34.172
in,34.232,34.292
the,34.312,34.372
"stage,",34.392,34.792
happiness,34.832,35.253
seems,35.293,35.473
to,35.513,35.653
fade,35.713,36.333
Figures,36.993,37.254
in,37.314,37.394
martial,37.434,37.834
"rage,",37.874,38.234
living,38.274,38.534
on,38.574,38.674
masquerade,38.714,39.795
Cinema,40.395,40.835
view,40.875,41.035
drew,41.075,41.235
close,41.275,41.495
to,41.515,41.595
the,41.615,41.676
broken,41.716,42.096
souls,42.116,42.336
of,42.376,42.436
the,42.456,42.516
past,42.576,42.796
dark,42.816,42.956
days,42.996,43.496
Finish,43.536,44.517
my,44.557,44.697
"soup,",44.717,44.877
blow,44.917,45.117
"token,",45.137,45.517
crow,45.537,45.757
to,45.777,45.917
"kick,",45.957,46.137
restart,46.197,46.618
my,46.658,46.778
brain,46.838,47.298
Skinner,47.678,47.918
been,47.938,48.038
a,48.058,48.118
"winner,",48.138,48.338
I'm,48.358,48.418
the,48.438,48.539
"bigger,",48.559,48.759
I've,48.779,48.859
been,48.879,48.979
in,49.019,49.059
it,49.079,49.159
for,49.199,49.279
a,49.319,49.379
minute,49.399,49.619
or,49.659,49.799
two,49.839,50.459
And,50.699,50.78
this,50.8,50.9
is,50.94,51.0
the,51.02,51.12
first,51.14,51.32
big,51.36,51.54
vision,51.58,51.78
on,51.84,51.9
the,51.92,52.0
"television,",52.02,52.4
man,52.42,52.48
I,52.52,52.58
stepped,52.6,52.82
foot,52.86,53.021
on,53.081,53.141
the,53.181,53.241
moon,53.281,53.721
Living,54.141,54.341
in,54.401,54.461
a,54.521,54.561
twisted,54.601,54.961
"dream,",54.981,55.302
the,55.322,55.442
mystic,55.462,55.722
"screams,",55.742,56.162
seductive,56.182,56.662
tunes,56.702,57.102
Telling,57.542,57.763
me,57.783,57.863
to,57.883,57.983
change,58.003,58.243
my,58.263,58.403
"ways,",58.443,58.703
repent,58.723,59.063
my,59.103,59.243
sins,59.323,59.563
or,59.643,59.723
end,59.783,59.924
in,60.004,60.124
doom,60.164,60.444
