word,start_time,end_time
Verlorene,0.009,0.429
Musik,0.449,0.569
So,51.159,51.579
"viel,",51.599,51.799
wenn,51.839,52.059
du,52.079,52.34
mein',52.74,53.14
"Leid,",53.2,53.68
wenn,53.74,54.2
du,54.22,54.5
weißt,54.54,54.72
So,54.74,54.92
"viel,",54.94,55.301
wenn,55.341,55.821
du,55.861,56.121
mein',56.161,56.361
"Leid,",56.381,56.621
wenn,56.641,56.921
du,56.961,57.181
weißt,57.221,57.721
So,57.741,57.961
"viel,",58.001,58.222
wenn,58.262,58.482
du,58.522,58.782
mein',58.802,59.622
"Leid,",59.662,60.142
wenn,60.182,60.622
du,60.642,60.902
weißt,60.962,61.103
Die,87.79,88.391
Welt,88.411,88.751
ist,88.831,88.911
wie,88.931,89.072
eine,89.132,89.312
Lila,89.352,89.652
Doch,119.996,120.237
die,120.277,120.418
letzten,120.438,120.92
Wörter,120.94,121.724
meines,121.784,122.266
Lebens,122.286,122.768
waren,122.808,123.371
es,123.451,123.531
nicht.,123.551,123.672
Verstehen,154.991,155.231
Sie,155.251,155.352
mich?,155.372,155.452
