word,start_time,end_time
Look,2.383,2.683
at,2.763,2.863
"you,",2.923,3.144
hacker.,3.244,3.985
A,4.545,5.226
pathetic,5.467,6.007
creature,6.108,6.528
of,6.608,6.688
meat,6.809,7.169
and,7.249,7.369
"bone,",7.49,8.571
panting,8.651,9.152
and,9.212,9.292
sweating,9.392,9.893
as,9.993,10.073
you,10.113,10.293
run,10.514,10.754
through,10.794,11.074
my,11.114,11.255
corridors.,11.335,12.336
How,13.277,13.478
can,13.538,13.718
you,13.758,13.898
challenge,13.998,14.559
a,14.639,14.719
"perfect,",14.84,15.38
immortal,15.601,16.141
machine?,16.241,16.762
