word,start_time,end_time
to,0.0,0.358
make,0.358,0.716
the,0.716,1.074
nations,1.074,1.432
of,1.432,1.79
the,1.79,2.148
world,2.148,2.506
and,2.506,3.068
especially,3.068,3.63
their,3.629,4.191
government,4.191,4.753
aware,4.753,5.366
of,5.366,5.979
the,5.979,6.592
unspeakable,6.593,7.206
disaster,7.206,7.819
endless,7.819,8.328
the,8.328,8.837
change,8.837,9.346
the,9.346,9.855
attitude,9.855,10.364
towards,10.364,10.873
each,10.873,11.382
other,11.382,11.891
into,11.891,12.37
what's,12.37,12.849
the,12.849,13.328
task,13.328,13.807
of,13.808,14.287
shaping,14.287,14.766
the,14.766,15.245
