word,start_time,end_time
Before,0.345,0.645
I,0.705,0.785
let,0.845,1.005
you,1.026,1.166
"go,",1.206,1.366
one,1.486,1.606
question.,1.686,2.126
There,2.807,2.987
is,3.067,3.207
a,3.447,3.487
report,3.547,4.088
that,4.108,4.188
at,4.368,4.488
a,4.908,4.968
business,5.028,5.488
meeting,5.549,5.909
"once,",6.069,6.229
you,6.309,6.509
pulled,6.589,6.829
out,6.909,7.03
a,7.11,7.15
knife.,7.19,7.51
I,8.05,8.25
sure,8.29,8.531
damn,8.591,8.891
did.,8.931,9.231
Did,9.531,9.711
you?,9.751,9.891
"Yes,",10.612,10.892
I,11.072,11.172
did.,11.232,11.533
Why?,11.593,11.873
Because...,12.313,12.853
Bitcoin.,12.953,13.654
"Oh,",14.314,14.515
yes.,14.575,14.955
Because,15.015,15.855
there,15.895,16.216
was,16.236,16.396
a,16.476,16.576
rather,16.596,16.956
company...,17.016,17.537
I,20.673,20.794
"said,",20.874,21.254
where's,21.354,21.735
my,21.755,21.855
money?,21.875,22.576
They,22.596,22.696
"said,",22.716,22.836
we're,22.896,23.237
not,23.277,23.497
gonna,23.517,23.717
give,23.757,23.938
you,24.018,24.238
any,24.258,24.378
money.,24.438,24.678
I,24.699,24.719
"said,",24.759,25.219
"oh,",25.239,25.279
"yes,",25.339,25.52
you,26.22,26.581
are.,26.801,26.921
And,34.013,34.113
I,34.193,34.273
got,34.313,34.513
a,34.533,34.573
gun.,34.673,35.214
It,35.314,35.394
was,36.094,36.294
a,36.414,36.474
"gun,",36.574,36.934
it,37.074,37.174
wasn't,37.234,37.454
a,37.614,37.695
knife.,37.715,38.535
And,39.095,39.195
I,39.275,39.375
followed,39.415,39.835
him,39.895,40.075
to,40.095,40.296
a,40.316,40.336
restaurant,40.356,41.076
and,41.096,41.196
I,41.296,41.396
tried,41.436,41.716
to,41.736,41.816
kill,41.836,42.176
him.,42.196,42.657
This,42.677,42.837
my,42.897,43.057
"booze,",43.077,43.397
my,43.417,43.577
"brooks,",43.597,43.857
my,43.917,44.117
"collie,",44.157,44.677
my,44.717,44.877
"A-chain,",44.977,45.358
my,45.398,45.618
"turf,",45.658,45.838
my,45.898,46.098
"posse,",46.138,46.638
my,46.698,46.898
