word,start_time,end_time
Freedom,1.112,1.472
to,1.612,1.772
Transact,1.832,2.453
by,3.193,3.393
Ash,3.533,3.813
Lightstone,4.113,4.753
The,5.634,5.714
freedom,5.754,6.034
to,6.094,6.234
transact,6.294,6.854
is,7.094,7.174
the,7.214,7.294
freedom,7.354,7.654
to,7.714,7.795
be.,7.835,8.075
It,8.795,8.875
means,8.915,9.175
I,9.195,9.215
don't,9.375,9.555
need,9.595,9.815
your,9.855,10.055
permission,10.095,10.616
to,10.956,11.056
do,11.096,11.216
as,11.276,11.356
I,11.456,11.536
please,11.576,11.976
and,12.516,12.616
just,12.676,12.996
be,13.076,13.217
me.,13.257,13.497
It's,14.297,14.417
a,14.477,14.497
freedom,14.537,14.797
that,14.837,14.957
we,14.997,15.077
should,15.117,15.277
all,15.337,15.477
have,15.537,15.878
without,16.438,16.758
any,16.838,16.958
conditions,17.018,17.598
we,17.678,17.798
have,17.838,17.978
no,18.018,18.158
say,18.218,18.459
in.,18.519,18.639
There,19.319,19.439
shouldn't,19.479,19.739
be,19.759,19.879
any,19.959,20.099
strings,20.159,20.499
attached,20.559,21.039
or,21.58,21.66
any,21.74,21.9
rhetoric,21.98,22.52
about,22.84,23.08
it,23.1,23.14
being,23.2,23.44
a,23.48,23.52
sin.,23.6,23.901
It's,24.821,24.941
a,24.981,25.021
freedom,25.041,25.341
that,25.401,25.561
allows,25.621,26.041
us,26.101,26.181
all,26.401,26.562
to,26.662,26.742
be,26.782,26.882
equal,27.022,27.382
in,28.042,28.122
a,28.162,28.182
manner,28.242,28.502
that,28.542,28.682
is,28.762,28.822
profoundly,28.902,29.643
meaningful.,29.723,30.243
And,30.911,31.011
for,31.031,31.151
that,31.171,31.352
reason,31.412,31.792
they,31.872,32.032
tell,32.052,32.232
us,32.292,32.393
it's,32.473,32.613
dangerous.,32.653,33.233
They,34.054,34.214
say,34.274,34.475
there's,34.495,34.775
no,34.815,34.975
way,35.035,35.335
for,35.556,35.716
it,35.776,35.856
to,35.896,35.976
be,36.016,36.136
purposeful.,36.176,36.777
When,38.198,38.358
others,38.438,38.699
don't,38.779,38.999
want,39.059,39.259
us,39.319,39.419
to,39.479,39.6
have,39.64,39.82
this,39.88,40.04
"freedom,",40.08,40.46
we,40.921,41.061
have,41.101,41.301
to,41.341,41.461
stop,41.542,41.802
and,41.922,42.042
ask,42.162,42.402
why.,42.502,42.803
We,43.604,43.704
have,43.744,43.864
to,43.904,43.984
ultimately,44.084,44.624
see,44.764,45.105
that,45.205,45.365
it's,45.425,45.545
about,45.585,45.825
"control,",45.885,46.445
and,47.065,47.145
that,47.205,47.345
their,47.385,47.586
so-called,47.706,48.286
protection,48.366,49.066
is,49.426,49.526
a,49.586,49.626
