word,start_time,end_time
"Okay,",5.373,5.693
"Houston,",5.774,6.094
we've,6.114,6.214
had,6.254,6.354
a,6.394,6.454
problem,6.494,6.794
here.,6.814,6.975
This,6.995,8.256
is,8.296,8.356
Houston.,8.376,8.696
Say,8.716,8.856
"again,",8.876,9.077
please.,9.097,9.377
"Uh,",9.577,10.358
"Houston,",10.418,10.718
we've,10.798,10.958
had,10.978,11.138
a,11.159,11.199
problem.,11.219,11.459
We've,13.08,13.2
had,13.24,13.341
a,13.361,13.381
main,13.421,13.601
beam,13.641,13.841
unflutterable.,13.961,14.522
"Roger,",16.063,16.303
main,16.323,16.503
beam,16.543,16.664
unflutterable.,16.684,19.486
"Okay,",19.506,19.766
stand,19.786,19.947
"by,",19.987,20.327
13.,0.0,0.0
We're,20.587,20.707
looking,20.727,20.948
at,20.988,21.028
it.,21.048,21.088
