word,start_time,end_time
"Hey,",0.379,0.919
you,1.42,1.74
wish,1.88,2.06
I,2.2,2.34
don't,2.38,2.661
"JPEG,",2.801,3.021
you,3.061,3.181
can't,3.261,4.101
use,4.161,4.542
Bitcoin,4.662,5.522
that,5.642,5.983
way.,6.143,6.423
Just,6.443,6.883
say,6.983,7.544
no,7.664,7.844
to,7.864,8.124
"NFT,",8.144,8.404
Bitcoin,8.444,8.905
should,8.925,9.245
be,9.265,9.345
only,9.405,9.525
money.,9.565,10.165
"Trustless,",10.185,10.546
"decentralized,",10.566,11.226
no,11.306,11.486
"intermediaries,",11.546,12.507
but,12.587,12.987
come,13.007,13.327
on,13.427,13.628
guys.,13.668,13.928
Bitcoin,28.121,28.783
will,28.803,29.003
be,29.063,29.384
Ethereum.,29.544,30.466
Bitcoin,45.476,47.679
should,47.799,48.159
be,48.279,49.501
only,49.781,50.041
money.,50.142,50.802
