word,start_time,end_time
"Yo,",0.069,0.269
what,0.289,0.429
up?,0.469,0.569
It's,0.649,0.729
your,0.749,0.929
boy,0.949,1.19
Q-Tip,1.25,1.71
right,1.83,1.99
here,2.03,2.35
at,2.37,2.41
Aztrak,2.61,3.09
Poetic.,3.13,3.651
Y'all,3.691,3.851
know,3.871,4.031
what,4.051,4.191
it,4.251,4.311
is.,4.411,4.551
Y'all,4.591,4.711
know,4.731,4.911
the,4.931,5.051
voice.,5.091,5.391
And,5.492,5.552
this,5.572,5.712
is,5.772,5.852
your,5.892,6.032
musical,6.072,6.532
choice.,6.632,6.972
KBVR88.7,7.552,8.153
on,8.173,8.473
your,8.493,8.753
FM,8.773,8.833
dial.,8.953,9.033
