word,start_time,end_time
God,0.623,0.923
fuckin',1.003,1.443
"dammit,",1.503,1.904
that,1.944,2.104
Bitcoin,2.184,2.704
magazine,2.744,3.384
was,3.665,3.885
a,3.925,3.965
fuckin',4.085,4.525
farce!,4.645,5.105
Two,5.746,5.986
fuckin',6.066,6.486
idiot,6.586,6.926
wizards,7.006,7.406
on,7.526,7.626
stage?,7.727,8.187
This,8.887,9.067
is,9.147,9.247
not,9.307,9.567
a,9.607,9.647
fuckin',9.747,10.228
"joke,",10.288,10.608
people!,10.688,11.208
Fuckin',12.129,12.549
"idiots,",12.669,13.309
okay?,13.569,13.99
Our,14.39,14.53
fuckin',14.61,15.09
children,15.19,15.79
are,16.571,16.631
at,16.711,16.811
risk!,16.871,17.271
And,17.851,17.951
we,17.971,18.092
got,18.132,18.352
these,18.372,18.512
two,18.552,18.812
fuckin',18.892,19.312
clowns,19.432,19.872
on,19.992,20.113
stage?,20.213,20.693
Fuck,21.153,21.453
"you,",21.493,21.713
Bitcoin,21.753,22.254
magazine!,22.314,22.914
