word,start_time,end_time
I've,0.129,0.29
heard,0.33,0.53
people,0.59,0.871
say,0.931,1.152
that,1.212,1.332
in,1.372,1.452
the,1.472,1.552
digital,1.613,1.993
world,2.033,2.274
nothing,2.354,2.635
is,2.715,2.775
ever,2.855,3.036
"lost,",3.096,3.477
but,4.058,4.198
I,4.278,4.379
beg,4.459,4.699
to,4.719,4.82
differ.,4.86,5.18
The,5.2,5.902
Bitcoin,5.922,6.403
graveyard,6.423,6.924
is,6.964,7.045
a,7.085,7.105
place,7.145,7.365
of,7.405,7.465
lost,7.546,7.846
fortunes,7.926,8.408
and,8.508,8.628
forgotten,8.708,9.209
dreams.,9.269,9.65
