word,start_time,end_time
When,0.714,0.854
I,0.914,0.974
landed,1.034,1.354
at,1.454,1.514
Le,1.554,1.654
Bourget,1.674,2.335
a,4.755,4.795
few,4.835,5.135
weeks,6.356,6.576
"ago,",6.616,6.896
I,10.357,10.437
landed,10.497,10.757
with,10.797,10.917
the,10.937,11.017
expectancy,11.077,11.838
and,12.398,12.478
the,12.498,12.598
hope,12.658,12.858
of,14.378,14.478
being,14.558,14.838
able,14.959,15.199
to,15.379,15.519
see,15.599,15.919
Europe.,16.059,16.299
It,16.939,17.039
was,17.059,17.199
the,17.219,17.319
first,17.359,17.619
time,17.719,18.079
I'd,19.24,19.42
ever,19.46,19.62
been,19.66,19.84
"abroad,",19.9,20.3
and,20.94,21.04
I,21.08,21.14
wasn't,21.18,21.441
in,21.461,21.521
any,21.621,21.801
hurry,21.861,22.101
to,22.121,22.181
get,22.201,22.341
back.,22.401,22.641
