word,start_time,end_time
哦,3.697,3.817
哦,3.817,3.838
又,20.362,20.663
一,20.663,20.823
座,20.823,20.943
古,20.943,21.263
道,21.263,21.564
大,21.564,21.704
海,21.704,21.884
里,21.884,22.205
飘,22.205,22.345
摇,22.345,22.485
乘,22.485,22.645
坐,22.645,22.805
时,22.805,23.106
代,23.106,23.426
的,23.426,25.249
镣,0.0,0.0
铐,0.0,0.0
不,25.249,25.549
用,25.549,25.729
谁,25.729,25.849
知,25.849,26.19
道,26.19,26.51
不,26.51,26.631
管,26.631,26.811
他,26.811,26.931
们,26.931,27.091
嘲,27.091,27.372
笑,27.372,27.532
像,27.532,27.732
自,27.732,28.012
由,28.012,28.353
大,28.353,28.653
单,28.653,28.934
平,28.934,29.514
靠,29.514,30.135
又,30.135,30.476
一,30.476,30.616
座,30.616,30.756
城,30.756,31.097
堡,31.097,31.377
扶,31.377,31.537
着,31.537,31.817
猿,0.0,0.0
和,31.817,31.978
猫,31.978,32.278
去,32.278,32.438
找,32.438,32.599
时,32.599,32.919
代,32.919,33.239
的,33.239,33.52
喧,33.52,35.022
嚣,0.0,0.0
响,35.022,35.362
起,35.362,35.502
了,35.502,35.643
号,35.643,35.963
角,35.963,36.283
他,36.283,36.444
们,36.444,36.624
都,36.624,36.784
不,36.784,36.924
知,36.924,37.245
道,37.245,37.425
是,37.425,37.545
我,37.545,37.826
们,37.826,37.926
的,37.926,37.946
喊,39.307,40.247
什,40.247,40.407
么,40.407,40.547
喊,40.547,41.147
喊,41.147,41.347
到,41.347,41.468
微,41.468,41.628
博,41.628,42.408
删,0.0,0.0
你,42.408,42.688
我,42.688,42.968
坚,42.968,43.308
持,43.308,43.629
不,43.629,43.929
一,43.929,44.069
般,44.069,44.509
战,44.509,44.689
斗,44.689,44.829
神,44.829,45.169
话,45.169,45.449
灿,45.449,45.77
烂,45.77,46.05
海,46.05,46.39
军,46.39,46.61
山,46.61,47.01
乱,47.01,47.33
不,47.33,47.57
再,47.57,47.931
会,47.931,48.171
有,48.171,48.591
遗,48.591,49.131
憾,49.131,49.731
喊,49.731,50.052
什,50.052,50.212
么,50.212,50.332
喊,50.332,50.952
喊,50.952,51.112
到,51.112,51.252
微,51.252,51.412
博,51.412,52.393
删,0.0,0.0
无,52.393,52.513
人,52.513,52.793
告,52.793,53.113
诉,53.113,53.433
不,53.433,53.713
胜,53.713,53.873
寒,53.873,54.314
战,54.314,54.494
斗,54.494,54.654
烟,54.654,54.954
雾,54.954,55.234
交,55.234,55.554
叉,55.554,55.854
星,55.854,56.194
火,56.194,56.475
灿,56.475,56.775
烂,56.775,57.075
自,57.075,57.355
由,57.355,57.655
多,57.655,57.855
伟,57.855,58.275
大,58.275,58.295
休,79.572,79.732
想,79.732,79.892
聽,0.0,0.0
說,0.0,0.0
什,79.892,80.373
麼,0.0,0.0
哭,80.373,80.513
著,80.513,80.653
怨,80.653,80.793
恨,80.793,81.254
罵,0.0,0.0
去,81.254,81.394
那,81.394,81.574
