word,start_time,end_time
Fuckin',1.567,2.127
"wankers,",2.167,2.748
financial,3.048,3.608
"terrorists,",3.669,4.169
that's,4.229,4.449
fuckin',4.589,5.089
gangstas.,5.23,5.93
I'm,6.09,6.35
being,6.37,6.651
"banxtas,",6.711,7.371
fuckin',7.751,8.312
"wankers,",8.372,8.952
financial,9.252,9.813
"terrorists,",9.873,10.373
that's,10.433,10.653
fuckin',10.773,11.294
gangstas.,11.434,12.134
I'm,12.255,12.535
being,12.575,12.835
"banxtas,",12.895,13.575
fuckin',13.976,14.416
"wankers,",14.516,15.157
financial,15.437,15.997
"terrorists,",16.077,16.598
that's,16.618,16.898
fuckin',17.038,17.478
gangstas.,17.618,18.339
I'm,18.619,18.739
being,18.779,19.039
"banxtas,",19.099,19.74
Fucking,20.16,20.58
"wankers,",20.7,21.401
financial,21.621,22.281
"terrorists,",22.301,22.782
the,22.802,22.982
fucking,23.222,23.662
jinxers.,23.802,24.543
Tear,24.763,25.003
up,25.043,25.163
the,25.303,25.444
fiat,25.544,25.804
that,25.844,25.984
they,26.044,26.204
want,26.244,26.444
you,26.484,26.584
to,26.604,26.644
join.,26.965,27.505
Burn,27.805,28.105
all,28.205,28.346
your,28.386,28.546
fiat,28.646,28.946
and,29.026,29.146
get,29.166,29.406
the,29.546,29.706
bitcoin.,29.766,30.687
Tear,30.967,31.207
up,31.247,31.348
the,31.368,31.468
fiat,31.588,32.008
that,32.048,32.188
they,32.228,32.388
want,32.428,32.648
you,32.688,32.788
to,32.808,32.849
join.,33.169,33.689
Burn,34.009,34.309
all,34.41,34.55
your,34.59,35.13
fiat,35.15,35.61
and,35.811,36.131
get,36.271,36.891
the,37.352,37.532
bitcoin.,37.672,38.632
Fucking,38.752,39.173
"wankers,",39.293,40.013
financial,40.213,40.874
"terrorists,",40.894,41.374
the,41.394,41.574
fucking,41.815,42.255
jinxers.,42.395,43.095
boop,50.08,50.422
boop,50.844,51.045
We,56.735,56.855
fight,57.055,57.656
for,57.956,58.216
what's,58.236,58.356
right,58.416,58.616
and,58.696,58.796
enjoy,58.856,59.177
the,59.197,59.317
motherfuckin',59.337,59.997
high,60.017,60.397
in,60.417,60.457
the,60.538,60.678
Metro.,60.758,61.018
We,61.078,61.318
fight,61.358,61.498
for,61.878,62.039
what's,62.059,62.339
right,62.479,63.059
and,63.379,63.54
enjoy,63.68,64.56
the,64.6,64.82
motherfuckin',64.84,65.721
high,65.921,66.181
in,66.281,66.321
the,66.341,66.421
Metro.,66.461,66.642
Get,86.715,86.855
a,86.955,87.035
recycle,87.235,87.816
what's,87.856,87.996
right,88.036,88.296
and,88.436,88.616
avoid,88.836,89.317
those,89.357,89.577
motherfuckers,89.617,90.358
up,90.438,90.598
high,90.658,90.958
and,91.058,91.158
get,91.198,91.418
the,91.498,91.618
max,91.719,91.979
coin.,92.039,92.439
