word,start_time,end_time
There's,0.7,1.461
a,1.501,1.521
constant,1.561,2.281
creation,2.341,2.921
of,3.022,3.102
these.,4.102,4.302
Every,4.382,4.583
10,0.0,0.0
minutes.,4.623,5.143
Instead,5.343,6.043
of,6.143,6.224
the,6.244,6.364
money,6.384,6.744
in,6.864,6.964
your,6.984,7.164
pocket,7.224,7.484
losing,7.524,7.865
value,7.905,8.325
over,8.465,8.885
time,8.925,9.125
because,9.165,9.606
the,9.626,9.826
central,9.846,10.046
government,10.086,10.766
is,10.786,10.906
diluting,10.926,11.507
"it,",11.607,11.687
it's,11.707,11.927
getting,11.967,12.407
concentrated,12.447,13.588
because,13.688,14.329
more,14.369,14.529
people,14.569,14.809
want,14.829,15.569
to,15.589,15.709
use,15.789,15.97
it,16.03,16.17
when,16.23,16.33
there's,16.37,16.65
not,16.79,17.15
enough,17.23,17.791
"around,",17.891,18.251
so,18.311,18.591
it,18.691,18.871
gains,18.931,19.252
value,19.272,19.592
in,19.612,19.792
your,19.812,20.212
pocket.,20.252,20.773
Lots,20.973,21.133
of,21.173,21.373
deflationary,21.413,21.953
currency.,21.993,22.654
"Bitcoin,",23.494,23.955
"Bitcoin,",24.015,24.335
Bitcoin.,24.375,24.595
Where,56.124,56.364
are,56.384,56.544
you?,56.884,57.025
Once,57.065,57.205
he's,57.265,57.385
in,57.485,57.585
"trouble,",57.605,57.825
pull,57.865,58.025
out,58.665,58.806
all,59.086,59.426
the,60.266,60.506
accounts.,60.526,60.847
Don't,60.887,61.167
look,61.207,61.347
at,61.747,61.807
how,62.608,62.828
happy,63.408,63.628
you,63.748,63.888
are,63.908,64.088
today.,64.288,64.849
Be,64.949,65.029
careful.,65.049,65.469
From,65.509,65.669
now,65.709,65.769
"on,",65.829,65.949
pull,66.049,66.33
out,66.45,68.931
all,68.951,69.051
the,69.071,69.271
accounts.,69.431,69.751
"Come,",69.831,70.232
"come,",70.272,70.432
come.,70.472,70.552
Bitcoin,134.346,134.687
is,134.707,134.747
one,134.767,134.847
of,134.867,135.047
many,135.247,135.568
"cryptocurrencies,",135.608,136.108
but,136.148,136.409
it's,136.489,136.629
by,136.769,137.15
far,137.17,137.35
the,137.71,137.891
most,137.931,138.091
popular,138.171,138.611
and,138.671,138.812
the,138.852,138.972
biggest,138.992,139.172
in,139.432,139.593
the,139.673,139.753
world.,139.773,139.953
Bitcoin,140.073,140.293
is,140.313,140.394
"decentralized,",140.514,140.914
meaning,141.715,142.036
that,142.236,142.436
its,142.596,142.676
distribution,143.077,145.28
and,145.88,146.061
exchange,146.201,146.821
are,146.922,147.042
decentralized.,147.122,147.442
I,173.128,173.148
believe,173.168,173.469
that,173.509,173.75
life,174.071,174.352
changes.,174.392,174.834
