word,start_time,end_time
Forgive,0.029,0.249
straight,0.269,0.489
away,0.529,0.689
for,0.729,0.809
what,0.829,0.909
we,0.949,1.009
couldn't,1.049,1.37
see.,1.49,1.69
We,1.75,1.81
can,1.85,1.95
both,1.99,2.21
be,2.29,2.43
good,2.49,2.71
and,2.75,2.83
have,2.87,3.05
opposite,3.11,3.43
beliefs.,3.45,3.791
Everyone,4.111,4.491
has,4.551,4.751
insecurities.,4.831,5.791
My,5.972,6.052
thoughts,6.072,6.312
aren't,6.372,6.532
me.,6.592,6.792
And,7.012,7.072
that's,7.112,7.292
a,7.372,7.452
relief.,7.472,7.832
Become,8.012,8.293
the,8.333,8.433
observer,8.473,8.853
and,8.913,9.013
you,9.073,9.213
become,9.233,9.513
free.,9.593,9.853
Follow,10.073,10.313
Obi-Wan,10.373,10.834
and,10.874,10.974
set,11.014,11.174
yourself,11.194,11.554
free.,11.594,11.854
Look,12.054,12.194
inside,12.214,12.454
your,12.494,12.574
mind.,12.614,12.775
Don't,12.795,12.915
be,12.935,13.015
scared,13.055,13.255
of,13.275,13.315
what,13.335,13.415
you,13.455,13.555
find.,13.595,13.875
Learn,14.075,14.235
to,14.255,14.315
love,14.335,14.455
the,14.475,14.555
darkness,14.595,14.855
and,14.895,14.955
you'll,14.975,15.096
turn,15.116,15.236
it,15.256,15.336
into,15.356,15.536
light.,15.596,15.876
Heaven,16.096,16.396
and,16.436,16.536
hell,16.576,16.776
are,16.796,16.876
just,16.896,16.996
states,17.016,17.316
of,17.376,17.457
mind.,17.497,17.817
Love,18.097,18.257
versus,18.277,18.557
fear.,18.617,18.837
Your,18.857,18.977
attention,18.997,19.377
will,19.397,19.537
find,19.577,19.798
which,19.818,19.978
reality,20.038,20.518
you,20.798,20.898
create,20.938,21.318
in,21.338,21.438
time.,21.478,21.798
So,21.838,21.978
be,21.998,22.059
careful,22.099,22.319
with,22.339,22.439
your,22.459,22.559
thoughts,22.599,22.839
and,22.879,22.939
make,22.959,23.059
sure,23.079,23.159
that,23.179,23.259
they,23.299,23.519
align.,23.539,23.919
Meditate,24.119,24.54
so,24.56,24.6
you,24.78,24.86
can,24.88,24.96
control,24.98,25.28
a,25.3,25.32
lot,25.34,25.42
of,25.44,25.48
your,25.5,25.62
life,25.66,25.9
or,26.06,26.12
you,26.14,26.2
will,26.24,26.34
be,26.36,26.44
controlled,26.48,26.861
on,26.941,27.021
autopilot.,27.101,27.741
