word,start_time,end_time
One,0.009,0.069
and,0.089,0.149
a,0.169,0.189
half,0.209,0.289
down.,0.329,0.629
Right,1.33,1.51
shadow.,1.59,2.03
Four,3.451,3.711
forward.,3.771,4.171
Four,5.272,5.492
"forward,",5.532,5.892
drifting,5.932,6.232
to,6.272,6.332
the,6.372,6.492
right,6.512,6.933
a,7.813,7.913
little.,8.654,9.074
Ready?,9.634,9.954
One,9.994,10.074
and,10.194,10.294
a,10.374,10.434
half.,10.454,10.675
Thirty,10.695,10.855
seconds.,11.815,13.116
Contact,17.058,19.779
right.,19.839,20.059
"Okay,",23.181,23.461
engine,23.501,23.781
stop.,23.801,24.082
Tranquility,28.486,29.127
Base,29.167,29.407
here.,29.467,29.787
The,30.047,30.207
Eagle,30.267,30.547
has,30.587,30.748
landed.,30.808,31.168
"Roger,",31.848,32.228
Twink.,32.269,32.569
"Tranquility,",32.769,33.609
we,33.649,33.809
copy,33.849,34.17
you,34.19,34.29
on,34.31,34.41
the,34.43,34.53
ground.,34.57,34.95
You,34.97,35.25
got,35.29,35.43
a,35.49,35.551
bunch,35.591,35.731
of,35.811,35.851
guys,35.891,36.171
about,36.231,36.451
to,36.471,36.511
turn,36.611,36.851
blue.,36.871,37.171
We're,37.212,37.352
breathing,37.372,37.752
again.,37.792,38.112
Thanks,38.132,38.392
a,38.492,38.512
lot.,38.552,38.772
