word,start_time,end_time
Outro,0.029,0.169
Song,0.209,0.449
So,17.205,17.365
please,17.445,17.765
tell,17.805,18.025
me,18.086,18.326
that,18.386,18.566
we,18.606,18.746
are,18.826,18.926
free,19.026,19.426
Freedom,19.826,20.167
of,20.227,20.347
speech,20.387,20.827
or,20.907,21.047
the,21.087,21.187
freedom,21.227,21.607
to,21.647,21.787
breathe,21.827,22.228
The,22.248,22.388
way,22.428,22.588
I,22.648,22.728
believe,22.828,23.308
is,23.388,23.488
respect,23.608,24.269
Equally,24.829,25.429
him,25.469,25.649
as,25.729,25.83
if,25.97,26.07
he,26.23,26.37
is,26.45,26.55
you,26.61,26.81
and,26.87,26.97
you,27.01,27.17
are,27.25,27.35
me,27.39,27.791
Who,28.911,29.231
are,29.411,29.551
we,29.612,29.772
to,29.812,29.932
end,30.012,30.132
a,30.212,30.252
conscious,30.292,30.692
life,30.772,31.012
And,31.112,31.172
the,31.192,31.272
power,31.312,31.613
of,31.693,31.813
greed,31.933,32.293
to,32.313,32.453
endowering,32.533,33.153
we,33.213,33.534
Cause,33.894,34.014
we,34.034,34.134
got,34.174,34.354
our,34.414,34.594
own,34.654,34.794
choice,34.914,35.254
and,35.335,35.455
we,35.495,35.635
made,35.675,35.975
it,36.075,36.355
Yeah,36.375,37.035
we,37.055,37.175
got,37.216,37.396
our,37.436,37.636
own,37.696,37.836
choice,37.976,38.316
and,38.416,38.556
we,38.576,38.636
made,38.736,38.916
it,38.976,39.016
